"","par.index","estimate","se","fixed","note","group","cohort","age","time","occ","occ.cohort","stratum","Cohort","Age","Time","stock","sex","A","B","X"
"p sB gUnalakleetM c1 a3 o3 t4",207,1,0,"Fixed","","UnalakleetM","1","3","4",3,1,"B",0,3,2,"Unalakleet","M",0,1,0
"p sB gUnalakleetM c2 a1 o2 t3",208,1,0,"Fixed","","UnalakleetM","2","1","3",2,2,"B",1,1,1,"Unalakleet","M",0,1,0
"p sB gUnalakleetM c2 a2 o3 t4",209,1,0,"Fixed","","UnalakleetM","2","2","4",3,2,"B",1,2,2,"Unalakleet","M",0,1,0
"p sB gUnalakleetM c3 a1 o3 t4",210,1,0,"Fixed","","UnalakleetM","3","1","4",3,3,"B",2,1,2,"Unalakleet","M",0,1,0
"p sX gUnalakleetM c1 a1 o1 t2",211,1,0,"Fixed","","UnalakleetM","1","1","2",1,1,"X",0,1,0,"Unalakleet","M",0,0,1
"p sX gUnalakleetM c1 a2 o2 t3",212,1,0,"Fixed","","UnalakleetM","1","2","3",2,1,"X",0,2,1,"Unalakleet","M",0,0,1
"p sX gUnalakleetM c1 a3 o3 t4",213,1,0,"Fixed","","UnalakleetM","1","3","4",3,1,"X",0,3,2,"Unalakleet","M",0,0,1
"p sX gUnalakleetM c2 a1 o2 t3",214,1,0,"Fixed","","UnalakleetM","2","1","3",2,2,"X",1,1,1,"Unalakleet","M",0,0,1
"p sX gUnalakleetM c2 a2 o3 t4",215,1,0,"Fixed","","UnalakleetM","2","2","4",3,2,"X",1,2,2,"Unalakleet","M",0,0,1
"p sX gUnalakleetM c3 a1 o3 t4",216,1,0,"Fixed","","UnalakleetM","3","1","4",3,3,"X",2,1,2,"Unalakleet","M",0,0,1
