"","par.index","estimate","se","fixed","note","group","cohort","age","time","occ","occ.cohort","stratum","tostratum","Cohort","Age","Time","stock","sex","A","B","X","toA","toB","toX"
"Psi sA toX gTransitoryF c1 a2 o3 t3",261,0.126529679212754,0.0234989797176358,"     ","","TransitoryF","1","2","3",3,1,"A","X",0,2,2,"Transitory","F",1,0,0,0,0,1
"Psi sA toX gTransitoryF c2 a0 o2 t2",262,0.126834312061288,0.0234660435250475,"     ","","TransitoryF","2","0","2",2,2,"A","X",1,0,1,"Transitory","F",1,0,0,0,0,1
"Psi sA toX gTransitoryF c2 a1 o3 t3",263,0.126529679212754,0.0234989797176358,"     ","","TransitoryF","2","1","3",3,2,"A","X",1,1,2,"Transitory","F",1,0,0,0,0,1
"Psi sA toX gTransitoryF c3 a0 o3 t3",264,0.126529679212754,0.0234989797176358,"     ","","TransitoryF","3","0","3",3,3,"A","X",2,0,2,"Transitory","F",1,0,0,0,0,1
"Psi sB toA gTransitoryF c1 a0 o1 t1",265,0.512437991615001,0.0543842680208767,"     ","","TransitoryF","1","0","1",1,1,"B","A",0,0,0,"Transitory","F",0,1,0,1,0,0
"Psi sB toA gTransitoryF c1 a1 o2 t2",266,0.49193774175323,0.0608799908242603,"     ","","TransitoryF","1","1","2",2,1,"B","A",0,1,1,"Transitory","F",0,1,0,1,0,0
"Psi sB toA gTransitoryF c1 a2 o3 t3",267,0.432034930675523,0.100631775804748,"     ","","TransitoryF","1","2","3",3,1,"B","A",0,2,2,"Transitory","F",0,1,0,1,0,0
"Psi sB toA gTransitoryF c2 a0 o2 t2",268,0.49193774175323,0.0608799908242603,"     ","","TransitoryF","2","0","2",2,2,"B","A",1,0,1,"Transitory","F",0,1,0,1,0,0
"Psi sB toA gTransitoryF c2 a1 o3 t3",269,0.432034930675523,0.100631775804748,"     ","","TransitoryF","2","1","3",3,2,"B","A",1,1,2,"Transitory","F",0,1,0,1,0,0
"Psi sB toA gTransitoryF c3 a0 o3 t3",270,0.432034930675523,0.100631775804748,"     ","","TransitoryF","3","0","3",3,3,"B","A",2,0,2,"Transitory","F",0,1,0,1,0,0
"Psi sB toX gTransitoryF c1 a0 o1 t1",271,0.463474895170664,0.0432695550259747,"     ","","TransitoryF","1","0","1",1,1,"B","X",0,0,0,"Transitory","F",0,1,0,0,0,1
"Psi sB toX gTransitoryF c1 a1 o2 t2",272,0.444933435086766,0.0362514964702771,"     ","","TransitoryF","1","1","2",2,1,"B","X",0,1,1,"Transitory","F",0,1,0,0,0,1
"Psi sB toX gTransitoryF c1 a2 o3 t3",273,0.39075431216162,0.0720246370837412,"     ","","TransitoryF","1","2","3",3,1,"B","X",0,2,2,"Transitory","F",0,1,0,0,0,1
"Psi sB toX gTransitoryF c2 a0 o2 t2",274,0.444933435086766,0.0362514964702771,"     ","","TransitoryF","2","0","2",2,2,"B","X",1,0,1,"Transitory","F",0,1,0,0,0,1
"Psi sB toX gTransitoryF c2 a1 o3 t3",275,0.39075431216162,0.0720246370837412,"     ","","TransitoryF","2","1","3",3,2,"B","X",1,1,2,"Transitory","F",0,1,0,0,0,1
"Psi sB toX gTransitoryF c3 a0 o3 t3",276,0.39075431216162,0.0720246370837412,"     ","","TransitoryF","3","0","3",3,3,"B","X",2,0,2,"Transitory","F",0,1,0,0,0,1
"Psi sX toA gTransitoryF c1 a0 o1 t1",277,0.138529106356625,0.26684274523,"     ","","TransitoryF","1","0","1",1,1,"X","A",0,0,0,"Transitory","F",0,0,1,1,0,0
"Psi sX toA gTransitoryF c1 a1 o2 t2",278,0.138529106356624,0.261821149700321,"     ","","TransitoryF","1","1","2",2,1,"X","A",0,1,1,"Transitory","F",0,0,1,1,0,0
"Psi sX toA gTransitoryF c1 a2 o3 t3",279,0.138529106356623,0.150384566031255,"     ","","TransitoryF","1","2","3",3,1,"X","A",0,2,2,"Transitory","F",0,0,1,1,0,0
"Psi sX toA gTransitoryF c2 a0 o2 t2",280,0.138529106356624,0.261821149700321,"     ","","TransitoryF","2","0","2",2,2,"X","A",1,0,1,"Transitory","F",0,0,1,1,0,0
"Psi sX toA gTransitoryF c2 a1 o3 t3",281,0.138529106356623,0.150384566031255,"     ","","TransitoryF","2","1","3",3,2,"X","A",1,1,2,"Transitory","F",0,0,1,1,0,0
"Psi sX toA gTransitoryF c3 a0 o3 t3",282,0.138529106356623,0.150384566031255,"     ","","TransitoryF","3","0","3",3,3,"X","A",2,0,2,"Transitory","F",0,0,1,1,0,0
"Psi sX toB gTransitoryF c1 a0 o1 t1",283,0.861470893643373,0.26684274523,"     ","","TransitoryF","1","0","1",1,1,"X","B",0,0,0,"Transitory","F",0,0,1,0,1,0
"Psi sX toB gTransitoryF c1 a1 o2 t2",284,0.86147089364337,0.262481607508936,"     ","","TransitoryF","1","1","2",2,1,"X","B",0,1,1,"Transitory","F",0,0,1,0,1,0
