"tag.ID","ymd.hms","array","lat","long","sex","species","stock","unix"
955,2020-08-07 10:31:00,"C",64.0169,-160.91451,"F","coho","Unalakleet",1596796260
955,2020-08-13 13:10:00,"E",64.039991,-160.900489,"F","coho","Unalakleet",1597324200
970,2021-08-17 12:03:00,"C",63.94366,-160.84396,"M","coho","Unalakleet",1629201780
970,2021-08-19 14:00:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1629381600
995,2020-08-07 11:05:00,"C",64.0169,-160.91451,"M","coho","Unalakleet",1596798300
995,2020-08-07 17:06:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1596819960
995,2020-08-07 23:38:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596843480
1010,2021-08-16 21:49:00,"7",63.548007,-161.129208,"M","coho","Transitory",1629150540
1010,2021-08-17 12:31:00,"C",63.94366,-160.84396,"M","coho","Transitory",1629203460
1010,2021-08-17 13:46:00,"5",63.953841,-160.857668,"M","coho","Transitory",1629207960
1010,2021-08-18 13:09:00,"7",63.547179,-161.123543,"M","coho","Transitory",1629292140
1010,2021-08-20 07:50:00,"7",63.548007,-161.129208,"M","coho","Transitory",1629445800
1010,2021-08-21 07:26:00,"5",63.953337,-160.876021,"M","coho","Transitory",1629530760
1010,2021-08-21 17:59:00,"6",63.693551,-160.8998,"M","coho","Transitory",1629568740
1010,2021-08-21 23:24:00,"7",63.547179,-161.123543,"M","coho","Transitory",1629588240
1015,2020-08-07 11:12:00,"C",64.0169,-160.91451,"M","coho","Unalakleet",1596798720
1015,2020-08-07 23:44:00,"5",63.953644,-160.863799,"M","coho","Unalakleet",1596843840
1015,2020-08-08 18:35:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596911700
1030,2021-08-17 12:41:00,"C",63.94366,-160.84396,"M","coho","Unalakleet",1629204060
1030,2021-08-17 22:00:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1629237600
1055,2020-08-07 11:38:00,"C",64.0169,-160.91451,"F","coho","Unalakleet",1596800280
1055,2020-08-08 00:50:00,"4",64.131144,-160.970255,"F","coho","Unalakleet",1596847800
1055,2020-08-08 15:01:00,"4",64.131239,-160.964123,"F","coho","Unalakleet",1596898860
1055,2020-08-09 09:18:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1596964680
1070,2021-08-17 13:09:00,"C",63.94366,-160.84396,"M","coho","Unalakleet",1629205740
1070,2021-08-22 06:28:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1629613680
1075,2020-08-07 11:52:00,"C",64.0169,-160.91451,"F","coho","Unalakleet",1596801120
1075,2020-08-07 21:31:00,"5",63.953841,-160.857668,"F","coho","Unalakleet",1596835860
1075,2020-08-08 12:00:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1596888000
1090,2021-08-22 09:37:00,"C",63.89247,-160.80774,"F","coho","Unalakleet",1629625020
1090,2021-08-24 01:16:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1629767760
1095,2020-08-07 12:09:00,"C",64.0169,-160.91451,"M","coho","Unalakleet",1596802140
1095,2020-08-07 17:57:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1596823020
1095,2020-08-08 09:24:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1596878640
1110,2021-08-22 10:00:00,"C",63.93864,-160.83904,"F","coho","Unalakleet",1629626400
1110,2021-08-23 21:51:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1629755460
1130,2021-08-22 11:30:00,"C",63.93864,-160.83904,"M","coho","Unalakleet",1629631800
1130,2021-08-23 17:01:00,"6",63.690645,-160.876555,"M","coho","Unalakleet",1629738060
1130,2021-08-24 11:05:00,"7",63.547179,-161.123543,"M","coho","Unalakleet",1629803100
1130,2021-08-24 19:46:00,"7",63.548007,-161.129208,"M","coho","Unalakleet",1629834360
1130,2021-09-01 20:00:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1630526400
1135,2020-08-07 12:41:00,"C",64.0169,-160.91451,"M","coho","Unalakleet",1596804060
1135,2020-08-08 13:50:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1596894600
1135,2020-08-08 22:07:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596924420
1155,2020-08-07 12:52:00,"C",64.0169,-160.91451,"M","coho","Unalakleet",1596804720
1155,2020-08-08 16:50:00,"4",64.131287,-160.957982,"M","coho","Unalakleet",1596905400
1155,2020-08-09 17:36:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1596994560
1155,2020-08-09 23:26:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1597015560
1195,2020-08-07 12:53:00,"C",64.0169,-160.91451,"M","coho","Unalakleet",1596804780
1195,2020-08-12 13:31:00,"4",64.131287,-160.957982,"M","coho","Unalakleet",1597239060
1195,2020-08-14 10:34:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1597401240
1195,2020-08-14 16:17:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1597421820
1210,2021-08-22 12:32:00,"C",63.98006,-160.88265,"F","coho","Unalakleet",1629635520
1210,2021-08-24 04:14:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1629778440
1210,2021-09-08 12:00:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1631102400
1215,2020-08-07 13:27:00,"C",64.0169,-160.91451,"F","coho","Unalakleet",1596806820
1215,2020-08-08 19:49:00,"E",64.039991,-160.900489,"F","coho","Unalakleet",1596916140
1235,2020-08-07 14:01:00,"C",64.0169,-160.91451,"M","coho","Unalakleet",1596808860
1235,2020-08-08 11:33:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1596886380
1235,2020-08-08 20:33:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596918780
