tag.ID,power,array,rec,ymd.hms,unix
1535,1548,U,2,8/11/2020 15:06,1597187163
1555,804,4,1,8/12/2020 22:37,1597300632
1570,224,5,1,8/24/2021 1:30,1629797456
1570,98,6,3,8/24/2021 20:58,1629867508
1570,69,6,5,8/25/2021 17:01,1629939708
1575,845,E,1,8/16/2020 18:21,1597630865
1610,1217,5,3,8/24/2021 19:36,1629862601
1615,546,5,6,8/11/2020 11:59,1597175955
1615,1556,U,1,8/11/2020 19:56,1597204607
1630,213,5,1,8/24/2021 1:43,1629798226
1630,1463,U,1,8/24/2021 22:49,1629874183
1655,1544,4,4,8/13/2020 9:57,1597341469
1655,102,3,1,8/14/2020 3:45,1597405536
1675,700,4,2,8/12/2020 5:12,1597237935
1675,70,S,1,8/15/2020 6:45,1597502707
1695,1405,4,1,8/12/2020 10:10,1597255811
1695,1543,S,1,8/15/2020 9:13,1597511581
1695,1538,S,2,8/18/2020 7:14,1597763678
1695,1056,4,1,8/18/2020 21:48,1597816102
1695,97,5,5,8/19/2020 5:10,1597842650
1695,981,U,2,8/19/2020 13:24,1597872297
1710,64,5,3,8/24/2021 7:26,1629818817
1715,1626,5,3,8/12/2020 15:21,1597274478
1730,120,5,1,8/24/2021 1:15,1629796517
1730,1482,U,1,8/24/2021 22:13,1629872003
1735,1504,5,6,8/12/2020 10:37,1597257439
1735,104,5,2,8/13/2020 17:38,1597369139
1735,603,U,1,8/14/2020 18:57,1597460232
1755,1483,5,6,8/12/2020 10:59,1597258747
1755,52,U,1,8/15/2020 6:46,1597502806
1770,303,5,1,8/24/2021 1:34,1629797667
1770,796,U,1,8/24/2021 16:04,1629849858
1775,1454,5,6,8/12/2020 10:58,1597258714
1775,1555,U,2,8/18/2020 10:19,1597774795
1790,404,4,3,8/24/2021 14:53,1629845586
1795,1134,5,6,8/12/2020 10:56,1597258601
1795,1550,U,2,8/13/2020 11:20,1597346437
1815,1549,5,2,8/12/2020 11:55,1597262152
1815,1546,E,1,8/16/2020 19:49,1597636160
1830,71,4,6,8/24/2021 12:12,1629835946
1830,94,4,3,8/25/2021 17:26,1629941195
1830,66,5,3,8/26/2021 0:08,1629965327
1835,1034,5,5,8/12/2020 11:06,1597259163
1835,193,6,1,8/13/2020 7:08,1597331284
1835,102,7,1,8/14/2020 3:36,1597404996
1855,1543,5,6,8/12/2020 19:11,1597288277
1855,1508,U,1,8/13/2020 2:13,1597313618
1870,1295,U,1,8/24/2021 8:47,1629823644
1875,1495,5,6,8/12/2020 11:16,1597259773
1875,1553,U,2,8/13/2020 21:47,1597384065
1895,1523,5,6,8/14/2020 15:37,1597448240
1895,122,5,2,8/18/2020 17:56,1597802173
1895,74,5,2,9/2/2020 7:26,1599060417
1895,73,5,2,9/2/2020 16:24,1599092674
1895,81,5,2,9/4/2020 7:04,1599231864
1915,1491,5,2,8/12/2020 13:59,1597269542
1915,1320,5,6,8/14/2020 16:50,1597452631
1915,1543,E,1,8/18/2020 23:22,1597821762
1930,1204,4,2,8/25/2021 14:41,1629931287
1935,237,5,6,8/12/2020 11:41,1597261274
1935,92,5,5,8/15/2020 12:36,1597523774
1955,714,5,6,8/12/2020 11:37,1597261038
1955,1563,5,4,8/13/2020 3:01,1597316483
1955,1546,E,1,8/19/2020 16:35,1597883716
1975,1522,5,5,8/12/2020 11:46,1597261610
1975,1262,5,4,8/14/2020 2:39,1597401558
1975,1510,U,2,8/15/2020 7:27,1597505237
1990,87,4,3,8/26/2021 5:09,1629983376
1990,30,4,2,8/27/2021 6:37,1630075057
1995,1543,5,4,8/12/2020 12:33,1597264410
1995,1509,U,2,8/13/2020 8:21,1597335665
2015,1561,5,5,8/12/2020 11:45,1597261523
2015,1533,U,1,8/13/2020 11:52,1597348371
2030,63,5,3,8/24/2021 16:23,1629850984
2035,1560,5,2,8/12/2020 13:01,1597266077
2035,48,5,1,8/13/2020 14:23,1597357432
2035,239,5,1,8/14/2020 7:51,1597420285
2035,1186,6,3,8/15/2020 15:01,1597532470
2035,61,7,1,8/15/2020 23:26,1597562798
2055,91,5,5,8/12/2020 11:56,1597262188
2055,293,6,2,8/13/2020 19:48,1597376900
2055,54,7,1,8/14/2020 12:47,1597438073
2075,1548,5,5,8/12/2020 12:20,1597263620
2090,73,5,4,8/24/2021 15:47,1629848845
2090,52,U,1,8/25/2021 13:22,1629926574
2095,325,5,6,8/12/2020 12:06,1597262818
2095,1366,5,6,8/13/2020 8:07,1597334863
2110,38,5,3,8/24/2021 15:53,1629849199
2115,221,5,6,8/12/2020 12:08,1597262904
2115,1539,U,2,8/13/2020 0:37,1597307850
2130,64,5,3,8/24/2021 16:42,1629852132
2135,1385,5,6,8/12/2020 12:09,1597262986
2135,1558,5,5,8/13/2020 12:21,1597350098
2135,63,U,1,8/14/2020 10:27,1597429652
2150,94,5,3,8/24/2021 17:04,1629853442
2155,834,5,6,8/12/2020 12:12,1597263145
2155,1518,U,2,8/13/2020 7:46,1597333578
2175,824,5,6,8/12/2020 12:13,1597263229
2175,161,6,2,8/13/2020 10:01,1597341705
2175,60,7,1,8/14/2020 6:41,1597416095
2175,53,7,1,8/14/2020 17:53,1597456437
2175,1579,G,1,8/15/2020 6:38,1597502286
2190,67,5,3,8/24/2021 17:19,1629854347
2195,852,5,2,8/12/2020 14:33,1597271587
2195,1517,4,1,8/14/2020 5:52,1597413136
2195,63,1,2,8/17/2020 9:44,1597686291
2215,1323,5,6,8/12/2020 12:16,1597263366
2215,1555,E,1,8/17/2020 18:48,1597718895
2235,1517,5,3,8/12/2020 12:52,1597265561
2235,1543,U,1,8/13/2020 18:13,1597371199
2250,59,5,3,8/25/2021 8:33,1629909183
2255,1543,5,3,8/12/2020 13:18,1597267137
2255,1028,5,6,8/14/2020 19:58,1597463937
2255,1506,4,1,8/15/2020 7:39,1597505958
2270,97,5,3,8/25/2021 22:03,1629957811
2275,1452,5,6,8/12/2020 12:33,1597264417
2295,599,5,6,8/12/2020 12:29,1597264158
2295,94,5,2,8/13/2020 0:00,1597305654
2295,85,4,4,8/13/2020 14:32,1597357940
2295,1587,S,1,8/22/2020 0:19,1598084380
2315,206,5,6,8/12/2020 12:31,1597264268
2330,1379,U,1,8/25/2021 11:09,1629918580
2335,1186,5,4,8/12/2020 13:23,1597267385
2335,114,5,2,8/14/2020 5:27,1597411625
2335,95,5,1,8/15/2020 6:15,1597500919
2335,639,5,5,8/16/2020 13:37,1597613855
2335,1541,5,6,8/17/2020 7:23,1597677831
2335,1545,E,1,8/21/2020 19:34,1598067288
2355,106,5,5,8/12/2020 12:50,1597265411
2355,1540,4,4,8/17/2020 16:10,1597709433
2355,1377,5,6,8/18/2020 0:02,1597737761
2355,1500,U,2,8/18/2020 12:17,1597781841
2375,406,5,6,8/12/2020 12:52,1597265561
2375,1416,U,2,8/13/2020 15:44,1597362294
2390,94,6,3,8/25/2021 0:18,1629879480
2390,108,7,3,8/25/2021 14:00,1629928809
2390,119,7,4,8/26/2021 22:05,1630044310
2390,103,6,3,8/28/2021 1:25,1630142734
2390,310,6,3,8/29/2021 6:18,1630246690
2395,1091,5,5,8/12/2020 13:17,1597267027
2395,101,U,1,8/14/2020 3:55,1597406146
2415,90,5,5,8/17/2020 13:48,1597700899
2415,170,4,2,8/24/2020 17:03,1598317422
2415,1530,S,2,8/30/2020 6:58,1598799496
2435,876,5,6,8/17/2020 13:58,1597701512
2435,1546,5,5,8/18/2020 13:18,1597785498
2455,424,5,6,8/17/2020 14:07,1597702061
2455,141,6,2,8/18/2020 18:52,1597805573
2455,872,7,2,8/19/2020 2:33,1597833238
2475,1554,5,3,8/17/2020 15:31,1597707079
2475,694,5,6,8/18/2020 5:08,1597756138
2495,1104,5,6,8/17/2020 14:10,1597702253
2495,1534,U,2,8/19/2020 7:05,1597849520
2515,1540,5,6,8/17/2020 14:24,1597703062
2515,1595,U,2,8/18/2020 20:50,1597812607
2535,1573,5,5,8/17/2020 14:20,1597702842
2535,141,6,2,8/18/2020 14:27,1597789626
2535,65,7,1,8/19/2020 8:03,1597852989
2555,1241,5,6,8/17/2020 14:17,1597702666
2555,1433,U,1,8/19/2020 16:33,1597883593
2575,331,5,6,8/17/2020 14:30,1597703437
2575,511,U,1,8/18/2020 9:14,1597770871
2595,90,5,5,8/17/2020 14:27,1597703226
2615,1564,5,5,8/17/2020 15:25,1597706712
2615,1553,U,1,8/19/2020 10:01,1597860082
2635,1588,5,6,8/17/2020 21:01,1597726883
2635,286,5,6,8/22/2020 4:44,1598100277
2635,526,6,1,8/23/2020 3:09,1598180965
2655,1260,5,6,8/17/2020 14:35,1597703704
2675,1216,5,6,8/17/2020 15:03,1597705385
2675,198,4,1,8/26/2020 10:27,1598466420
2695,455,5,6,8/17/2020 14:59,1597705146
2695,1516,U,2,8/18/2020 18:15,1597803302
