,par.index,estimate,se
p sB gUnalakleetM c1 a2 o2 t3,206,1,0
p sB gUnalakleetM c1 a3 o3 t4,207,1,0
p sB gUnalakleetM c2 a1 o2 t3,208,1,0
p sB gUnalakleetM c2 a2 o3 t4,209,1,0
p sB gUnalakleetM c3 a1 o3 t4,210,1,0
p sX gUnalakleetM c1 a1 o1 t2,211,1,0
p sX gUnalakleetM c1 a2 o2 t3,212,1,0
p sX gUnalakleetM c1 a3 o3 t4,213,1,0
p sX gUnalakleetM c2 a1 o2 t3,214,1,0
p sX gUnalakleetM c2 a2 o3 t4,215,1,0
p sX gUnalakleetM c3 a1 o3 t4,216,1,0
Psi sA toB gShaktoolikF c1 a0 o1 t1,217,0.237556518,0.03279183
Psi sA toB gShaktoolikF c1 a1 o2 t2,218,0.105174672,0.027603772
Psi sA toB gShaktoolikF c1 a2 o3 t3,219,0.035894041,0.034129551
Psi sA toB gShaktoolikF c2 a0 o2 t2,220,0.105174672,0.027603772
Psi sA toB gShaktoolikF c2 a1 o3 t3,221,0.035894041,0.034129551
Psi sA toB gShaktoolikF c3 a0 o3 t3,222,0.035894041,0.034129551
Psi sA toX gShaktoolikF c1 a0 o1 t1,223,0.034550348,0.006070522
Psi sA toX gShaktoolikF c1 a1 o2 t2,224,0.015296662,0.003912123
Psi sA toX gShaktoolikF c1 a2 o3 t3,225,0.00522045,0.004658243
Psi sA toX gShaktoolikF c2 a0 o2 t2,226,0.015296662,0.003912123
Psi sA toX gShaktoolikF c2 a1 o3 t3,227,0.00522045,0.004658243
Psi sA toX gShaktoolikF c3 a0 o3 t3,228,0.00522045,0.004658243
Psi sB toA gShaktoolikF c1 a0 o1 t1,229,0.003175866,0.000859269
Psi sB toA gShaktoolikF c1 a1 o2 t2,230,0.001167922,0.00038473
Psi sB toA gShaktoolikF c1 a2 o3 t3,231,0.000366125,0.000326542
Psi sB toA gShaktoolikF c2 a0 o2 t2,232,0.001167922,0.00038473
Psi sB toA gShaktoolikF c2 a1 o3 t3,233,0.000366125,0.000326542
Psi sB toA gShaktoolikF c3 a0 o3 t3,234,0.000366125,0.000326542
Psi sB toX gShaktoolikF c1 a0 o1 t1,235,0.002872415,0.000925467
Psi sB toX gShaktoolikF c1 a1 o2 t2,236,0.001056328,0.000449846
Psi sB toX gShaktoolikF c1 a2 o3 t3,237,0.000331142,0.000334317
Psi sB toX gShaktoolikF c2 a0 o2 t2,238,0.001056328,0.000449846
Psi sB toX gShaktoolikF c2 a1 o3 t3,239,0.000331142,0.000334317
Psi sB toX gShaktoolikF c3 a0 o3 t3,240,0.000331142,0.000334317
Psi sX toA gShaktoolikF c1 a0 o1 t1,241,0.138529106,0.147235983
Psi sX toA gShaktoolikF c1 a1 o2 t2,242,0.138529106,0.323600019
Psi sX toA gShaktoolikF c1 a2 o3 t3,243,0.138529106,0.034339297
Psi sX toA gShaktoolikF c2 a0 o2 t2,244,0.138529106,0.323600019
Psi sX toA gShaktoolikF c2 a1 o3 t3,245,0.138529106,0.034339297
Psi sX toA gShaktoolikF c3 a0 o3 t3,246,0.138529106,0.034339297
Psi sX toB gShaktoolikF c1 a0 o1 t1,247,0.861470894,0.146909923
Psi sX toB gShaktoolikF c1 a1 o2 t2,248,0.861470894,0.323827838
Psi sX toB gShaktoolikF c1 a2 o3 t3,249,0.861470894,0.039198106
Psi sX toB gShaktoolikF c2 a0 o2 t2,250,0.861470894,0.323827838
Psi sX toB gShaktoolikF c2 a1 o3 t3,251,0.861470894,0.039198106
Psi sX toB gShaktoolikF c3 a0 o3 t3,252,0.861470894,0.039198106
Psi sA toB gTransitoryF c1 a0 o1 t1,253,0.872676058,0.023267552
Psi sA toB gTransitoryF c1 a1 o2 t2,254,0.872070191,0.023018529
Psi sA toB gTransitoryF c1 a2 o3 t3,255,0.869975636,0.022585955
Psi sA toB gTransitoryF c2 a0 o2 t2,256,0.872070191,0.023018529
Psi sA toB gTransitoryF c2 a1 o3 t3,257,0.869975636,0.022585955
Psi sA toB gTransitoryF c3 a0 o3 t3,258,0.869975636,0.022585955
Psi sA toX gTransitoryF c1 a0 o1 t1,259,0.12692243,0.023448244
Psi sA toX gTransitoryF c1 a1 o2 t2,260,0.126834312,0.023466044
Psi sA toX gTransitoryF c1 a2 o3 t3,261,0.126529679,0.02349898
Psi sA toX gTransitoryF c2 a0 o2 t2,262,0.126834312,0.023466044
Psi sA toX gTransitoryF c2 a1 o3 t3,263,0.126529679,0.02349898
Psi sA toX gTransitoryF c3 a0 o3 t3,264,0.126529679,0.02349898
Psi sB toA gTransitoryF c1 a0 o1 t1,265,0.512437992,0.054384268
Psi sB toA gTransitoryF c1 a1 o2 t2,266,0.491937742,0.060879991
Psi sB toA gTransitoryF c1 a2 o3 t3,267,0.432034931,0.100631776
Psi sB toA gTransitoryF c2 a0 o2 t2,268,0.491937742,0.060879991
Psi sB toA gTransitoryF c2 a1 o3 t3,269,0.432034931,0.100631776
Psi sB toA gTransitoryF c3 a0 o3 t3,270,0.432034931,0.100631776
Psi sB toX gTransitoryF c1 a0 o1 t1,271,0.463474895,0.043269555
Psi sB toX gTransitoryF c1 a1 o2 t2,272,0.444933435,0.036251496
Psi sB toX gTransitoryF c1 a2 o3 t3,273,0.390754312,0.072024637
Psi sB toX gTransitoryF c2 a0 o2 t2,274,0.444933435,0.036251496
Psi sB toX gTransitoryF c2 a1 o3 t3,275,0.390754312,0.072024637
Psi sB toX gTransitoryF c3 a0 o3 t3,276,0.390754312,0.072024637
Psi sX toA gTransitoryF c1 a0 o1 t1,277,0.138529106,0.266842745
Psi sX toA gTransitoryF c1 a1 o2 t2,278,0.138529106,0.26182115
Psi sX toA gTransitoryF c1 a2 o3 t3,279,0.138529106,0.150384566
Psi sX toA gTransitoryF c2 a0 o2 t2,280,0.138529106,0.26182115
Psi sX toA gTransitoryF c2 a1 o3 t3,281,0.138529106,0.150384566
Psi sX toA gTransitoryF c3 a0 o3 t3,282,0.138529106,0.150384566
Psi sX toB gTransitoryF c1 a0 o1 t1,283,0.861470894,0.266842745
Psi sX toB gTransitoryF c1 a1 o2 t2,284,0.861470894,0.262481608
Psi sX toB gTransitoryF c1 a2 o3 t3,285,0.861470894,0.147637676
Psi sX toB gTransitoryF c2 a0 o2 t2,286,0.861470894,0.262481608
Psi sX toB gTransitoryF c2 a1 o3 t3,287,0.861470894,0.147637676
