tag.ID,date.time,lat,long,stock
2295,8/13/2020 14:32,64.131052,-160.976405,5
2295,8/22/2020 0:19,64.368624,-161.112718,5
2315,8/12/2020 12:31,63.95299,-160.888171,6
2330,8/25/2021 11:09,63.557764,-161.056892,6
2335,8/12/2020 13:23,63.953337,-160.876021,6
2335,8/14/2020 5:27,63.953644,-160.863799,6
2335,8/15/2020 6:15,63.953841,-160.857668,6
2335,8/16/2020 13:37,63.953142,-160.882113,6
2335,8/17/2020 7:23,63.95299,-160.888171,6
2335,8/21/2020 19:34,64.042944,-160.888673,6
2355,8/12/2020 12:50,63.953142,-160.882113,6
2355,8/17/2020 16:10,64.131052,-160.976405,6
2355,8/18/2020 0:02,63.95299,-160.888171,6
2355,8/18/2020 12:17,63.555623,-161.051248,6
2375,8/12/2020 12:52,63.95299,-160.888171,6
2375,8/13/2020 15:44,63.555623,-161.051248,6
2395,8/12/2020 13:17,63.953142,-160.882113,6
2395,8/14/2020 3:55,63.557764,-161.056892,6
2415,8/17/2020 13:48,63.953142,-160.882113,5
2415,8/24/2020 17:03,64.131239,-160.964123,5
2415,8/30/2020 6:58,64.366297,-161.093039,5
2455,8/17/2020 14:07,63.95299,-160.888171,S
2455,8/18/2020 18:52,63.691418,-160.88228,S
2455,8/19/2020 2:33,63.548007,-161.129208,S
2475,8/17/2020 15:31,63.953475,-160.869926,6
2475,8/18/2020 5:08,63.95299,-160.888171,6
2495,8/17/2020 14:10,63.95299,-160.888171,6
2495,8/19/2020 7:05,63.555623,-161.051248,6
2515,8/17/2020 14:24,63.95299,-160.888171,6
2515,8/18/2020 20:50,63.555623,-161.051248,6
2535,8/17/2020 14:20,63.953142,-160.882113,S
2535,8/18/2020 14:27,63.691418,-160.88228,S
2535,8/19/2020 8:03,63.547179,-161.123543,S
2555,8/17/2020 14:17,63.95299,-160.888171,6
2555,8/19/2020 16:33,63.557764,-161.056892,6
2575,8/17/2020 14:30,63.95299,-160.888171,6
2575,8/18/2020 9:14,63.557764,-161.056892,6
2615,8/17/2020 15:25,63.953142,-160.882113,6
2615,8/19/2020 10:01,63.557764,-161.056892,6
2715,8/17/2020 15:05,63.95299,-160.888171,6
2715,8/18/2020 13:04,63.555623,-161.051248,6
2735,8/17/2020 15:05,63.95299,-160.888171,6
2735,8/18/2020 9:41,63.555623,-161.051248,6
2775,8/17/2020 15:24,63.95299,-160.888171,6
2775,8/27/2020 21:31,63.557764,-161.056892,6
2795,8/17/2020 15:54,63.953337,-160.876021,6
2795,8/18/2020 8:24,63.555623,-161.051248,6
2815,8/17/2020 15:35,63.95299,-160.888171,6
2815,8/18/2020 6:44,63.555623,-161.051248,6
2835,8/18/2020 11:19,63.95299,-160.888171,S
2835,8/19/2020 16:36,63.690645,-160.876555,S
2835,8/20/2020 0:51,63.547179,-161.123543,S
2855,8/18/2020 14:00,63.95299,-160.888171,6
2855,8/19/2020 15:24,63.555623,-161.051248,6
2895,8/18/2020 11:28,63.95299,-160.888171,S
2895,8/19/2020 14:54,63.691418,-160.88228,S
2895,8/19/2020 21:37,63.547179,-161.123543,S
2915,8/18/2020 11:54,63.953644,-160.863799,6
2915,8/20/2020 7:19,63.953142,-160.882113,6
2915,8/20/2020 12:27,64.131239,-160.964123,6
2915,8/21/2020 1:17,64.364748,-161.551676,6
2915,8/23/2020 12:41,64.131239,-160.964123,6
2915,8/23/2020 20:28,63.953142,-160.882113,6
2915,8/24/2020 12:58,63.555623,-161.051248,6
2935,8/18/2020 11:44,63.953475,-160.869926,6
2935,8/18/2020 22:54,63.555623,-161.051248,6
2955,8/18/2020 11:45,63.953142,-160.882113,6
2955,8/18/2020 22:47,63.953142,-160.882113,6
2955,8/19/2020 14:55,63.557764,-161.056892,6
2975,8/18/2020 13:11,63.953475,-160.869926,6
2975,8/22/2020 14:52,63.953142,-160.882113,6
2975,8/22/2020 20:46,63.555623,-161.051248,6
2995,8/18/2020 11:37,63.95299,-160.888171,6
2995,8/21/2020 20:47,64.042944,-160.888673,6
3075,8/18/2020 12:31,63.953337,-160.876021,6
3075,8/19/2020 21:00,63.555623,-161.051248,6
3115,8/18/2020 12:06,63.95299,-160.888171,6
3115,8/19/2020 6:48,63.95299,-160.888171,6
3115,8/22/2020 21:44,64.042944,-160.888673,6
3175,8/18/2020 12:20,63.95299,-160.888171,6
3175,8/19/2020 18:21,63.555623,-161.051248,6
3215,8/24/2020 20:04,63.953644,-160.863799,6
3215,8/25/2020 11:19,63.953142,-160.882113,6
3215,8/25/2020 21:12,63.557764,-161.056892,6
3335,8/24/2020 12:28,63.953142,-160.882113,6
3335,8/24/2020 22:51,63.555623,-161.051248,6
3375,8/24/2020 13:24,63.95299,-160.888171,S
3375,8/25/2020 9:36,63.953142,-160.882113,S
3375,8/25/2020 21:47,63.691418,-160.88228,S
3375,8/26/2020 5:33,63.953142,-160.882113,S
3375,8/27/2020 9:30,64.131287,-160.957982,S
3375,8/28/2020 8:05,63.691418,-160.88228,S
3375,8/28/2020 12:37,63.551293,-161.151899,S
3395,8/24/2020 13:38,63.953142,-160.882113,6
3395,8/24/2020 22:15,63.555623,-161.051248,6
3475,8/24/2020 14:44,63.95299,-160.888171,6
3475,8/25/2020 19:30,63.555623,-161.051248,6
3495,8/24/2020 14:48,63.95299,-160.888171,6
3495,8/25/2020 12:05,63.555623,-161.051248,6
3515,8/24/2020 16:29,63.953841,-160.857668,6
3515,8/25/2020 10:39,63.953142,-160.882113,6
3515,8/25/2020 18:56,63.555623,-161.051248,6
3535,8/25/2020 14:02,63.95299,-160.888171,6
3535,8/26/2020 10:30,63.555623,-161.051248,6
3595,8/25/2020 14:13,63.95299,-160.888171,6
3595,8/25/2020 22:59,63.555623,-161.051248,6
3615,8/25/2020 14:25,63.95299,-160.888171,6
3615,8/26/2020 22:05,63.555623,-161.051248,6
3655,8/25/2020 15:03,63.95299,-160.888171,6
3655,8/26/2020 11:18,63.953644,-160.863799,6
3655,8/26/2020 21:05,63.555623,-161.051248,6
3695,8/25/2020 17:32,63.953644,-160.863799,6
3695,8/26/2020 7:03,63.95299,-160.888171,6
3695,8/26/2020 16:19,63.555623,-161.051248,6
3715,8/25/2020 15:43,63.95299,-160.888171,6
3715,9/3/2020 22:51,64.042944,-160.888673,6
3795,8/25/2020 17:23,63.953337,-160.876021,6
3795,8/27/2020 9:13,63.555623,-161.051248,6
3855,8/25/2020 16:34,63.953142,-160.882113,6
3855,8/26/2020 14:55,63.555623,-161.051248,6
3895,8/25/2020 16:39,63.95299,-160.888171,6
3895,8/26/2020 11:40,63.953841,-160.857668,6
3895,8/27/2020 9:11,63.555623,-161.051248,6
3915,8/25/2020 16:25,63.95299,-160.888171,6
3915,8/26/2020 18:02,63.555623,-161.051248,6
3935,8/25/2020 16:42,63.953142,-160.882113,6
3935,8/26/2020 10:43,63.555623,-161.051248,6
3975,8/25/2020 16:41,63.95299,-160.888171,6
3975,8/26/2020 14:33,63.95299,-160.888171,6
3975,8/26/2020 22:29,63.555623,-161.051248,6
3995,8/25/2020 16:43,63.95299,-160.888171,S
3995,8/26/2020 12:15,63.691418,-160.88228,S
3995,8/26/2020 17:55,63.550473,-161.146236,S
4015,8/1/2020 15:58,64.130854,-160.98861,6
4015,8/2/2020 21:55,64.130854,-160.98861,6
4015,8/3/2020 13:42,63.953142,-160.882113,6
4015,8/5/2020 19:03,63.555623,-161.051248,6
4035,8/3/2020 5:00,64.131287,-160.957982,6
4035,8/3/2020 16:37,63.953644,-160.863799,6
4035,8/4/2020 7:09,63.555623,-161.051248,6
4055,8/2/2020 3:18,64.320926,-161.107788,5
4075,8/5/2020 2:17,64.368624,-161.112718,5
4135,8/10/2020 18:58,64.039991,-160.900489,6
4135,8/11/2020 19:35,64.042944,-160.888673,6
4135,8/12/2020 17:05,63.953142,-160.882113,6
4135,8/13/2020 14:22,63.557764,-161.056892,6
4155,8/2/2020 15:52,64.130854,-160.98861,6
4155,8/5/2020 16:14,63.953142,-160.882113,6
4155,8/6/2020 9:14,63.555623,-161.051248,6
4175,8/11/2020 18:14,64.130854,-160.98861,S
