"","par.index","estimate","se","fixed","note","group","cohort","age","time","occ","occ.cohort","stratum","Cohort","Age","Time","stock","sex","A","B","X"
"S sB gShaktoolikM c2 a1 o3 t3",65,0.0388815659310818,0.0235406573001655,"     ","","ShaktoolikM","2","1","3",3,2,"B",1,1,2,"Shaktoolik","M",0,1,0
"S sB gShaktoolikM c3 a0 o3 t3",66,0.0388815659310818,0.0235406573001655,"     ","","ShaktoolikM","3","0","3",3,3,"B",2,0,2,"Shaktoolik","M",0,1,0
"S sX gShaktoolikM c1 a0 o1 t1",67,0.999999998567111,2.71377180380579e-10,"     ","","ShaktoolikM","1","0","1",1,1,"X",0,0,0,"Shaktoolik","M",0,0,1
"S sX gShaktoolikM c1 a1 o2 t2",68,0.00934672303739129,0.00765266035522081,"     ","","ShaktoolikM","1","1","2",2,1,"X",0,1,1,"Shaktoolik","M",0,0,1
"S sX gShaktoolikM c1 a2 o3 t3",69,0.00300494081430607,0.00252732607440995,"     ","","ShaktoolikM","1","2","3",3,1,"X",0,2,2,"Shaktoolik","M",0,0,1
"S sX gShaktoolikM c2 a0 o2 t2",70,0.00934672303739129,0.00765266035522081,"     ","","ShaktoolikM","2","0","2",2,2,"X",1,0,1,"Shaktoolik","M",0,0,1
"S sX gShaktoolikM c2 a1 o3 t3",71,0.00300494081430607,0.00252732607440995,"     ","","ShaktoolikM","2","1","3",3,2,"X",1,1,2,"Shaktoolik","M",0,0,1
"S sX gShaktoolikM c3 a0 o3 t3",72,0.00300494081430607,0.00252732607440995,"     ","","ShaktoolikM","3","0","3",3,3,"X",2,0,2,"Shaktoolik","M",0,0,1
"S sA gTransitoryM c1 a0 o1 t1",73,0.999999999999233,1.45227082603262e-13,"     ","","TransitoryM","1","0","1",1,1,"A",0,0,0,"Transitory","M",1,0,0
"S sA gTransitoryM c1 a1 o2 t2",74,0.946334191317296,0.0336482755995219,"     ","","TransitoryM","1","1","2",2,1,"A",0,1,1,"Transitory","M",1,0,0
