tag.ID,capture,det,recap,ch,year
3215,B,55U,NA,BB,2020
3255,B,5,NA,B,2020
3275,B,5,NA,B,2020
3295,B,5,NA,B,2020
3315,B,5555,NA,B,2020
3335,B,5U,NA,BB,2020
3355,B,55,NA,B,2020
3375,B,5565467,NA,BABX,2020
3395,B,5U,NA,BB,2020
3415,B,555555,NA,B,2020
3435,B,55,NA,B,2020
3455,B,5,NA,B,2020
3475,B,5U,NA,BB,2020
3495,B,5U,NA,BB,2020
3515,B,55U,NA,BB,2020
3535,B,5U,NA,BB,2020
3555,B,55,NA,B,2020
3575,B,54,NA,BA,2020
3595,B,5U,NA,BB,2020
3615,B,5U,NA,BB,2020
3655,B,55U,NA,BB,2020
3675,B,55,NA,B,2020
3695,B,55U,NA,BB,2020
3715,B,5E,NA,BB,2020
3735,B,5E,NA,BB,2020
3755,B,55,NA,B,2020
3775,B,5455,NA,BAB,2020
3795,B,5U,NA,BB,2020
3815,B,5,NA,B,2020
3835,B,5,NA,B,2020
3855,B,5U,NA,BB,2020
3875,B,55,NA,B,2020
3895,B,55U,NA,BB,2020
3935,B,5U,NA,BB,2020
3955,B,5,NA,B,2020
3975,B,55U,NA,BB,2020
3995,B,567,NA,BX,2020
4015,A,445U,NA,ABB,2020
4035,A,45U,NA,ABB,2020
4055,A,T,NA,AA,2020
4075,A,S,NA,AA,2020
4135,A,EE5U,NA,ABB,2020
4155,A,45U,NA,ABB,2020
4175,A,4567,NA,ABX,2020
4195,A,45,NA,AB,2020
4215,A,SSS4,NA,AAAB,2020
4235,A,3234567,NA,ABX,2020
4275,A,5U,NA,ABB,2020
4295,A,45U,NA,ABB,2020
4315,A,4U,NA,ABB,2020
4335,A,345U,NA,ABB,2020
4355,A,3467,NA,ABX,2020
4375,A,45U,NA,ABB,2020
4395,A,45,NA,AB,2020
4415,A,4E,NA,ABB,2020
4435,A,45U,NA,ABB,2020
4455,A,4,NA,AB,2020
4475,A,45U,NA,ABB,2020
4495,A,4E,NA,ABB,2020
4515,A,45U,NA,ABB,2020
4535,A,455U,NA,ABB,2020
4555,A,SS45U,NA,ABB,2020
4595,A,4U,NA,ABB,2020
4615,A,45U,NA,ABB,2020
4635,A,44S,NA,ABAA,2020
4655,A,4445U,NA,ABB,2020
4675,A,44E,NA,ABB,2020
4715,A,445,NA,AB,2020
4735,A,4E,NA,ABB,2020
4755,A,45U,NA,ABB,2020
4775,A,4E,NA,ABB,2020
4795,A,45U,NA,ABB,2020
4815,A,45U,NA,ABB,2020
4855,A,456G,NA,ABB,2020
4875,A,45U,NA,ABB,2020
4895,A,45U,NA,ABB,2020
4955,A,45U,NA,ABB,2020
4995,A,4EE5U,NA,ABB,2020
5015,A,4,NA,AB,2020
5055,A,32I,NA,AXX,2020
5075,A,45U,NA,ABB,2020
5095,A,4567,NA,ABX,2020
5135,A,45,NA,AB,2020
5155,A,NA,NA,A,2020
5175,A,45U,NA,ABB,2020
5195,A,457G,NA,ABB,2020
5235,A,45U,NA,ABB,2020
5275,A,SST,NA,AA,2020
5295,A,4E,NA,ABB,2020
5355,A,43,NA,ABAX,2020
5375,A,T,NA,AA,2020
5395,A,4,NA,AB,2020
5415,A,4567,NA,ABX,2020
5435,A,4554,NA,ABA,2020
5455,A,NA,NA,A,2020
5475,A,4567,NA,ABX,2020
5495,A,44567,NA,ABX,2020
5515,A,45U,NA,ABB,2020
5535,A,4U,NA,ABB,2020
5555,A,45U,NA,ABB,2020
5575,A,45U,NA,ABB,2020
5615,A,S,NA,AA,2020
5635,A,NA,NA,A,2020
5655,A,456G,NA,ABB,2020
5675,A,567,NA,ABX,2020
5695,A,44,NA,ABA,2020
5715,A,456G7,NA,ABX,2020
5755,A,S,NA,AA,2020
5775,A,4,NA,AB,2020
5795,A,45U,NA,ABB,2020
5815,A,45U,NA,ABB,2020
5835,A,32N,NA,AXX,2020
5855,A,45674,NA,ABXB,2020
5875,A,4567,NA,ABX,2020
5895,A,45,NA,AB,2020
5915,A,445U,NA,ABB,2020
5935,A,4,NA,AB,2020
5955,A,45U,NA,ABB,2020
5975,A,4,NA,AB,2020
5995,A,4567,NA,ABX,2020
6015,A,S,NA,AA,2020
6035,A,NA,NA,A,2020
6055,A,45U,NA,ABB,2020
6075,A,S,NA,AA,2020
6095,A,45U,NA,ABB,2020
6115,A,45U,NA,ABB,2020
6135,A,4E,NA,ABB,2020
6155,A,4,NA,AB,2020
6195,A,NA,NA,A,2020
6255,A,4,NA,AB,2020
6275,A,S,NA,AA,2020
6315,A,S,NA,AA,2020
6335,A,455667,NA,ABX,2020
6355,A,4,NA,AB,2020
6375,A,32N,NA,AXX,2020
6395,A,T,NA,AA,2020
6415,A,3234567,NA,ABX,2020
6435,A,NA,NA,A,2020
6455,A,NA,NA,A,2020
6475,A,S,NA,AA,2020
6495,A,NA,NA,A,2020
6515,A,4,NA,AB,2020
6555,A,S,NA,AA,2020
6575,A,45U,NA,ABB,2020
6595,A,S,NA,AA,2020
6615,A,34,NA,AXAB,2020
6635,A,67,NA,ABX,2020
6655,A,T,NA,AA,2020
6675,A,S,NA,AA,2020
6695,A,S,NA,AA,2020
6715,A,S,NA,AA,2020
6735,A,NA,NA,A,2020
6755,A,45U,NA,ABB,2020
6775,A,33,NA,AXA,2020
6815,A,45U,NA,ABB,2020
6835,A,45554556,NA,ABAB,2020
6855,A,NA,NA,A,2020
6875,A,S,NA,AA,2020
6895,A,TS,NA,AA,2020
6915,A,NA,NA,A,2020
6935,A,S,NA,AA,2020
6955,A,45U,NA,ABB,2020
6975,A,T,NA,AA,2020
6995,A,45U,NA,ABB,2020
7015,A,455U,NA,ABB,2020
7035,A,SST,NA,AA,2020
7055,A,4567,NA,ABX,2020
7075,A,S,NA,AA,2020
7115,A,S,NA,AA,2020
7135,A,45U,NA,ABB,2020
7155,A,S,NA,AA,2020
7175,A,S,NA,AA,2020
7195,A,S,NA,AA,2020
7215,A,45U,NA,ABB,2020
7235,A,4E,NA,ABB,2020
7255,A,4,NA,AB,2020
7275,A,45,NA,AB,2020
7295,A,S,NA,AA,2020
7315,A,4,NA,AB,2020
7335,A,45,NA,AB,2020
7355,A,S,NA,AA,2020
7375,A,45,NA,AB,2020
7415,A,4E,NA,ABB,2020
7435,A,45,NA,AB,2020
7475,A,45U,NA,ABB,2020
7495,A,44,NA,ABA,2020
7515,A,4,NA,AB,2020
7535,A,4,NA,AB,2020
7555,A,4,NA,AB,2020
7575,A,4,NA,AB,2020
7595,A,NA,NA,A,2020
7615,A,323S,NA,AXAA,2020
7635,A,45,NA,AB,2020
7655,A,44,NA,ABA,2020
7675,A,3,NA,AX,2020
7695,A,4567,NA,ABX,2020
7715,A,45,NA,AB,2020
7735,A,NA,NA,A,2020
7755,A,NA,NA,A,2020
7775,A,NA,NA,A,2020
7815,A,S,NA,AA,2020
7835,A,45U,NA,ABB,2020
7875,A,4,NA,AB,2020
7895,A,47,NA,ABX,2020
7915,A,NA,NA,A,2020
7935,A,S,NA,AA,2020
7955,A,45U,NA,ABB,2020
7975,A,S,NA,AA,2020
7995,A,45,NA,AB,2020
6215,A,NA,S,AA,2020
6535,A,S,S,AA,2020
715,B,5U,U,BB,2020
735,B,5U,U,BB,2020
935,B,5U,U,BB,2020
1075,B,5,U,BB,2020
1275,B,567U,U,BXBB,2020
1795,B,5U,U,BB,2020
1855,B,5U,U,BB,2020
2015,B,5U,U,BB,2020
2155,B,5U,U,BB,2020
2315,B,5,U,BB,2020
2355,B,545U,U,BABB,2020
2815,B,5U,U,BB,2020
2975,B,55U,U,BB,2020
3915,B,5U,U,BB,2020
4255,A,67U,U,ABB,2020
4575,A,455U,U,ABB,2020
4835,A,NA,U,ABB,2020
4935,A,45,U,ABB,2020
5035,A,45U,U,ABB,2020
5215,A,45U,U,ABB,2020
5255,A,45,U,ABB,2020
5315,A,45,U,ABB,2020
5335,A,455,U,ABB,2020
5595,A,45,U,ABB,2020
5735,A,45,U,ABB,2020
6175,A,45,U,ABB,2020
7395,A,45U,U,ABB,2020
1435,B,567,X,BX,2020
4170,A,NA,A,A,2021
4870,A,NA,A,A,2021
250,B,5,B,B,2021
810,B,NA,B,B,2021
850,B,NA,B,B,2021
950,B,NA,B,B,2021
990,B,NA,B,B,2021
1050,B,5,B,B,2021
1170,B,5,B,B,2021
1230,B,55,B,B,2021
4110,A,45,B,AB,2021
4130,A,45,B,AB,2021
4150,A,4,B,AB,2021
4290,A,4,B,AB,2021
4370,A,4,B,AB,2021
4450,A,4,B,AB,2021
4490,A,4,B,AB,2021
4790,A,NA,B,AB,2021
4830,A,4,B,AB,2021
5370,A,4,B,AB,2021
110,B,5U,NA,BB,2021
130,B,57576,NA,BXB,2021
150,B,5UU54,NA,BBBA,2021
170,B,55,NA,B,2021
190,B,NA,NA,B,2021
230,B,NA,NA,B,2021
290,B,NA,NA,B,2021
330,B,NA,NA,B,2021
350,B,NA,NA,B,2021
370,B,4,NA,BA,2021
410,B,54,NA,BA,2021
430,B,5U,NA,BB,2021
450,B,5U,NA,BB,2021
470,B,55U,NA,BB,2021
490,B,5U,NA,BB,2021
510,B,55U,NA,BB,2021
530,B,5,NA,B,2021
550,B,5,NA,B,2021
570,B,5U,NA,BB,2021
590,B,5U,NA,BB,2021
610,B,5U,NA,BB,2021
630,B,55U,NA,BB,2021
650,B,5U,NA,BB,2021
670,B,5U,NA,BB,2021
710,B,U,NA,BB,2021
730,B,5,NA,B,2021
750,B,5U5,NA,BBB,2021
790,B,5,NA,B,2021
830,B,NA,NA,B,2021
870,B,U,NA,BB,2021
890,B,6U,NA,BB,2021
910,B,NA,NA,B,2021
930,B,U42,NA,BAX,2021
1010,B,7577567,NA,BXBX,2021
1070,B,U,NA,BB,2021
1090,B,U,NA,BB,2021
1150,B,NA,NA,B,2021
1190,B,NA,NA,B,2021
1250,B,4,NA,BA,2021
1270,B,5,NA,B,2021
1290,B,44,NA,BAB,2021
1310,B,5U,NA,BB,2021
1330,B,NA,NA,B,2021
1350,B,5U,NA,BB,2021
1370,B,5U,NA,BB,2021
1390,B,5U,NA,BB,2021
1410,B,445,NA,BAB,2021
1430,B,5543,NA,BAX,2021
1470,B,5U,NA,BB,2021
1490,B,NA,NA,B,2021
1510,B,5U,NA,BB,2021
1530,B,5,NA,B,2021
1550,B,NA,NA,B,2021
1570,B,566,NA,B,2021
1590,B,NA,NA,B,2021
1610,B,5,NA,B,2021
1630,B,5U,NA,BB,2021
1670,B,NA,NA,B,2021
1690,B,NA,NA,B,2021
1710,B,5,NA,B,2021
1730,B,5U,NA,BB,2021
1750,B,NA,NA,B,2021
1770,B,5U,NA,BB,2021
1790,B,4,NA,BA,2021
1810,B,NA,NA,B,2021
1830,B,445,NA,BAB,2021
1850,B,NA,NA,B,2021
1870,B,U,NA,BB,2021
1890,B,NA,NA,B,2021
1910,B,NA,NA,B,2021
1930,B,4,NA,BA,2021
1950,B,NA,NA,B,2021
1990,B,44,NA,BAB,2021
2050,B,NA,NA,B,2021
2070,B,NA,NA,B,2021
2090,B,5U,NA,BB,2021
2110,B,5,NA,B,2021
2190,B,5,NA,B,2021
2210,B,NA,NA,B,2021
2230,B,NA,NA,B,2021
2250,B,5,NA,B,2021
2270,B,5,NA,B,2021
2310,B,NA,NA,B,2021
2330,B,U,NA,BB,2021
2370,B,NA,NA,B,2021
2390,B,677766,NA,BXB,2021
2410,B,NA,NA,B,2021
2430,B,NA,NA,B,2021
2450,B,NA,NA,B,2021
2470,B,NA,NA,B,2021
2490,B,NA,NA,B,2021
4190,A,4T,NA,ABAA,2021
4210,A,NA,NA,A,2021
4230,A,NA,NA,A,2021
4250,A,45U,NA,ABB,2021
4270,A,5U,NA,ABB,2021
4310,A,NA,NA,A,2021
4330,A,44S,NA,ABAA,2021
4350,A,4SS33,NA,AAAX,2021
4390,A,NA,NA,A,2021
4410,A,NA,NA,A,2021
4430,A,NA,NA,A,2021
4470,A,45U,NA,ABB,2021
4510,A,S,NA,AA,2021
4530,A,T,NA,AA,2021
4550,A,45U,NA,ABB,2021
4570,A,3455,NA,AXAB,2021
4590,A,S,NA,AA,2021
4610,A,S,NA,AA,2021
4630,A,1,NA,AX,2021
4650,A,S,NA,AA,2021
4670,A,34,NA,AXAB,2021
4690,A,332,NA,AXAX,2021
4730,A,NA,NA,A,2021
4750,A,33S,NA,AXAA,2021
4770,A,4,NA,AB,2021
4810,A,S,NA,AA,2021
4850,A,45U,NA,ABB,2021
4890,A,NA,NA,A,2021
4910,A,455,NA,AB,2021
4950,A,NA,NA,A,2021
4970,A,4,NA,AB,2021
4990,A,4,NA,AB,2021
5010,A,4,NA,AB,2021
5030,A,45U,NA,ABB,2021
5050,A,NA,NA,A,2021
5090,A,NA,NA,A,2021
5110,A,477,NA,ABXB,2021
5130,A,45,NA,AB,2021
5150,A,1,NA,AX,2021
5170,A,455,NA,AB,2021
5210,A,4677,NA,ABXB,2021
5230,A,45,NA,AB,2021
5250,A,NA,NA,A,2021
5270,A,4U,NA,ABB,2021
5290,A,4,NA,AB,2021
5310,A,45U,NA,ABB,2021
5330,A,4,NA,AB,2021
5350,A,44,NA,ABA,2021
5390,A,4,NA,AB,2021
5430,A,4,NA,AB,2021
5490,A,4,NA,AB,2021
5530,A,4,NA,AB,2021
5550,A,NA,NA,A,2021
4930,A,NA,S,AA,2021
210,B,5U,U,BB,2021
270,B,4U,U,BABB,2021
310,B,4U,U,BABB,2021
390,B,5U,U,BB,2021
690,B,U,U,BB,2021
770,B,555U,U,BB,2021
970,B,NA,U,BB,2021
1030,B,NA,U,BB,2021
1110,B,U,U,BB,2021
1130,B,677,U,BXBB,2021
1210,B,5,U,BB,2021
1450,B,5U,U,BB,2021
1650,B,NA,U,BB,2021
1970,B,NA,U,BB,2021
2010,B,NA,U,BB,2021
2030,B,5,U,BB,2021
2130,B,5,U,BB,2021
2150,B,5,U,BB,2021
2170,B,NA,U,BB,2021
2290,B,NA,U,BB,2021
2350,B,NA,U,BB,2021
4710,A,4U,U,ABB,2021
5070,A,4,U,ABB,2021
5190,A,4,U,ABB,2021
5410,A,45,U,ABB,2021
5450,A,4,U,ABB,2021
5470,A,45U,U,ABB,2021
5510,A,45,U,ABB,2021
