tag.ID,ch,stock,sex
970,BW00,Unalakleet,M
975,B000,NA,M
990,B000,NA,F
995,BW00,Unalakleet,M
1010,BXBX,Transitory,M
1015,BW00,Unalakleet,M
1030,BW00,Unalakleet,M
1035,BWBW,Unalakleet,M
1050,B000,NA,M
1055,BABW,Unalakleet,F
1070,BW00,Unalakleet,M
1075,BW00,Unalakleet,F
1090,BW00,Unalakleet,F
1095,BW00,Unalakleet,M
1110,BW00,Unalakleet,F
1115,BAB0,NA,M
1130,BXBW,Unalakleet,M
1135,BW00,Unalakleet,M
1150,B000,NA,M
1155,BABW,Unalakleet,M
1170,B000,NA,M
1175,BAV0,Shaktoolik,M
1190,B000,NA,M
1195,BABW,Unalakleet,M
1210,BW00,Unalakleet,F
1215,BW00,Unalakleet,F
1230,B000,NA,M
1235,BW00,Unalakleet,M
1250,BA00,NA,F
1255,BABW,Unalakleet,F
1270,B000,NA,M
1275,BXBW,Unalakleet,M
1290,BAB0,NA,M
1295,BA00,NA,M
1310,BW00,Unalakleet,M
1315,BABW,Unalakleet,M
1330,B000,NA,M
1335,BAV0,Shaktoolik,M
1350,BW00,Unalakleet,M
1355,BA00,NA,F
1370,BW00,Unalakleet,M
1375,BAX0,Transitory,M
1390,BW00,Unalakleet,F
1395,BAB0,NA,M
1410,BAB0,NA,F
1415,BA00,NA,M
1430,BAX0,Transitory,M
1435,BX00,Transitory,M
1450,BW00,Unalakleet,F
1455,BW00,Unalakleet,F
1470,BW00,Unalakleet,F
1475,B000,NA,M
1490,B000,NA,F
1495,BW00,Unalakleet,F
1510,BW00,Unalakleet,F
1515,BW00,Unalakleet,F
1530,B000,NA,F
1535,BW00,Unalakleet,F
1550,B000,NA,M
1555,BA00,NA,M
1570,B000,NA,F
1575,BW00,Unalakleet,M
1590,B000,NA,F
1595,B000,NA,M
1610,B000,NA,F
1615,BW00,Unalakleet,M
1630,BW00,Unalakleet,M
1650,BW00,Unalakleet,F
1655,BAX0,Transitory,M
1670,B000,NA,F
1675,BAV0,Shaktoolik,M
1690,B000,NA,M
1695,BABW,Unalakleet,M
1710,B000,NA,F
1715,B000,NA,F
1730,BW00,Unalakleet,M
1735,BW00,Unalakleet,F
1750,B000,NA,F
1755,BW00,Unalakleet,F
1770,BW00,Unalakleet,M
1775,BW00,Unalakleet,M
1790,BA00,NA,F
1795,BW00,Unalakleet,M
1810,B000,NA,F
1815,BW00,Unalakleet,F
1830,BAB0,NA,F
1835,BX00,Transitory,M
1850,B000,NA,M
1855,BW00,Unalakleet,M
1870,BW00,Unalakleet,M
1875,BW00,Unalakleet,M
1890,B000,NA,F
1895,B000,NA,F
1910,B000,NA,M
1915,BW00,Unalakleet,M
1930,BA00,NA,M
1935,B000,NA,M
1950,B000,NA,F
1955,BW00,Unalakleet,F
1970,BW00,Unalakleet,F
1975,BW00,Unalakleet,M
1990,BAB0,NA,F
1995,BW00,Unalakleet,M
2010,BW00,Unalakleet,M
2015,BW00,Unalakleet,M
2030,BW00,Unalakleet,F
2050,B000,NA,M
2055,BX00,Transitory,M
2070,B000,NA,F
2075,B000,NA,F
2090,BW00,Unalakleet,F
2095,B000,NA,M
2110,B000,NA,F
2115,BW00,Unalakleet,M
2130,BW00,Unalakleet,M
2135,BW00,Unalakleet,F
2150,BW00,Unalakleet,M
2155,BW00,Unalakleet,M
2170,BW00,Unalakleet,M
2175,BXBW,Unalakleet,M
2190,B000,NA,F
2195,BAX0,Transitory,F
2210,B000,NA,F
2215,BW00,Unalakleet,M
2230,B000,NA,F
2235,BW00,Unalakleet,F
2250,B000,NA,M
2270,B000,NA,F
2275,B000,NA,F
2290,BW00,Unalakleet,M
2295,BAWA,NA,M
2310,B000,NA,F
2315,BW00,Unalakleet,F
2330,BW00,Unalakleet,M
2335,BW00,Unalakleet,F
2350,BW00,Unalakleet,M
2355,BABW,Unalakleet,F
2370,B000,NA,M
2375,BW00,Unalakleet,F
2390,BXB0,NA,M
2395,BW00,Unalakleet,M
2410,B000,NA,F
2415,BAV0,Shaktoolik,M
2430,B000,NA,M
2435,B000,NA,M
2450,B000,NA,F
2455,BX00,Transitory,M
2470,B000,NA,F
2475,BW00,Unalakleet,M
2490,B000,NA,M
2495,BW00,Unalakleet,F
2515,BW00,Unalakleet,F
2535,BX00,Transitory,M
2555,BW00,Unalakleet,F
2575,BW00,Unalakleet,F
2595,B000,NA,M
2615,BW00,Unalakleet,F
2635,B000,NA,F
2655,B000,NA,F
2675,BA00,NA,F
2695,BWBA,NA,M
2715,BW00,Unalakleet,M
2735,BW00,Unalakleet,M
2755,B000,NA,F
2775,BW00,Unalakleet,M
2795,BW00,Unalakleet,F
2815,BW00,Unalakleet,F
2835,BX00,Transitory,M
2855,BW00,Unalakleet,F
2875,B000,NA,F
2895,BX00,Transitory,M
2915,BABW,Unalakleet,M
2935,BW00,Unalakleet,M
2955,BW00,Unalakleet,F
2975,BW00,Unalakleet,M
2995,BW00,Unalakleet,F
3015,B000,NA,F
3035,B000,NA,F
3055,B000,NA,M
3075,BW00,Unalakleet,F
3095,B000,NA,M
3115,BW00,Unalakleet,M
3135,B000,NA,M
3155,B000,NA,M
3175,BW00,Unalakleet,M
3195,B000,NA,F
3215,BW00,Unalakleet,M
3235,B000,NA,M
3255,B000,NA,F
3275,B000,NA,M
3295,B000,NA,M
3315,B000,NA,F
3335,BW00,Unalakleet,M
3355,B000,NA,M
3375,BABX,Transitory,M
3395,BW00,Unalakleet,F
3415,B000,NA,F
3435,B000,NA,M
3455,B000,NA,M
3475,BW00,Unalakleet,M
3495,BW00,Unalakleet,M
3515,BW00,Unalakleet,M
3535,BW00,Unalakleet,F
3555,B000,NA,M
3575,BA00,NA,M
3595,BW00,Unalakleet,M
3615,BW00,Unalakleet,M
3655,BW00,Unalakleet,M
3675,B000,NA,F
3695,BW00,Unalakleet,F
3715,BW00,Unalakleet,M
3735,BW00,Unalakleet,F
3755,B000,NA,M
3775,BAB0,NA,F
3795,BW00,Unalakleet,F
3815,B000,NA,M
3835,B000,NA,M
3855,BW00,Unalakleet,M
3875,B000,NA,M
3895,BW00,Unalakleet,M
3915,BW00,Unalakleet,F
3935,BW00,Unalakleet,M
3955,B000,NA,F
3975,BW00,Unalakleet,M
3995,BX00,Transitory,M
4015,ABW0,Unalakleet,M
4035,ABW0,Unalakleet,M
4055,AV00,Shaktoolik,M
4075,AV00,Shaktoolik,M
4110,AB00,NA,M
4130,AB00,NA,M
4135,ABW0,Unalakleet,F
4150,AB00,NA,M
4155,ABW0,Unalakleet,F
4170,A000,NA,M
4175,ABX0,Transitory,M
4190,ABAV,Shaktoolik,F
4195,AB00,NA,F
4210,A000,NA,F
4215,AWAB,NA,M
4230,A000,NA,F
4235,ABX0,Transitory,M
4250,ABW0,Unalakleet,F
4255,ABW0,Unalakleet,M
4270,ABW0,Unalakleet,F
4275,ABW0,Unalakleet,F
4290,AB00,NA,F
4295,ABW0,Unalakleet,M
4310,A000,NA,M
4315,ABW0,Unalakleet,F
4330,ABAV,Shaktoolik,F
4335,ABW0,Unalakleet,F
