tag.ID,ch,stock,sex,stat.week,year
4735,ABB,Unalakleet,M,33,22
475,AXAA,Shaktoolik,M,33,221
4755,ABB,Unalakleet,M,33,22
477,AB,NA,M,34,221
4775,ABB,Unalakleet,M,33,22
479,AB,NA,M,34,221
4795,ABB,Unalakleet,M,33,22
481,AA,Shaktoolik,M,34,221
4815,ABB,Unalakleet,M,33,22
483,AB,NA,M,34,221
4835,ABB,Unalakleet,M,33,22
485,ABB,Unalakleet,F,34,221
4855,ABB,Unalakleet,M,33,22
487,A,NA,M,34,221
4875,ABB,Unalakleet,M,33,22
489,A,NA,M,34,221
4895,ABB,Unalakleet,M,33,22
491,AB,NA,F,35,221
493,AA,Shaktoolik,M,35,221
4935,ABB,Unalakleet,M,33,22
495,A,NA,M,35,221
4955,ABB,Unalakleet,M,33,22
497,AB,NA,M,35,221
499,AB,NA,M,35,221
4995,ABB,Unalakleet,M,33,22
51,AB,NA,F,35,221
515,AB,NA,F,33,22
53,ABB,Unalakleet,M,35,221
535,ABB,Unalakleet,M,33,22
55,A,NA,M,35,221
555,AX,Transitory,M,33,22
57,ABB,Unalakleet,M,35,221
575,ABB,Unalakleet,F,33,22
59,A,NA,F,35,221
595,ABX,Transitory,F,33,22
511,ABXB,NA,F,35,221
5115,AB,NA,M,33,22
513,AB,NA,F,35,221
5135,AB,NA,F,33,22
515,AX,Transitory,M,35,221
5155,A,NA,F,33,22
517,AB,NA,F,35,221
5175,ABB,Unalakleet,M,33,22
519,ABB,Unalakleet,F,35,221
5195,ABB,Unalakleet,M,33,22
521,ABXB,NA,F,35,221
5215,ABB,Unalakleet,M,33,22
523,AB,NA,M,35,221
5235,ABB,Unalakleet,F,33,22
525,A,NA,M,35,221
5255,ABB,Unalakleet,M,33,22
527,ABB,Unalakleet,F,35,221
5275,AA,Shaktoolik,F,33,22
529,AB,NA,M,35,221
5295,ABB,Unalakleet,F,33,22
531,ABB,Unalakleet,M,35,221
5315,ABB,Unalakleet,M,33,22
533,AB,NA,F,35,221
5335,ABB,Unalakleet,M,33,22
535,ABA,NA,F,35,221
5355,ABAX,Transitory,F,33,22
537,AB,NA,M,35,221
5375,AA,Shaktoolik,F,33,22
539,AB,NA,F,35,221
5395,AB,NA,F,33,22
541,ABB,Unalakleet,M,35,221
5415,ABX,Transitory,F,33,22
543,AB,NA,M,35,221
5435,ABA,NA,M,33,22
545,ABB,Unalakleet,M,35,221
5455,A,NA,F,33,22
547,ABB,Unalakleet,M,35,221
5475,ABX,Transitory,F,33,22
549,AB,NA,F,35,221
5495,ABX,Transitory,M,33,22
551,ABB,Unalakleet,F,35,221
5515,ABB,Unalakleet,F,33,22
553,AB,NA,F,35,221
5535,ABB,Unalakleet,M,33,22
555,A,NA,F,35,221
5555,ABB,Unalakleet,M,33,22
5575,ABB,Unalakleet,M,33,22
5595,ABB,Unalakleet,F,33,22
5615,AA,Shaktoolik,F,33,22
5635,A,NA,F,33,22
5655,ABB,Unalakleet,F,33,22
5675,ABX,Transitory,F,33,22
5695,ABA,NA,M,33,22
5715,ABX,Transitory,F,33,22
5735,ABB,Unalakleet,M,33,22
5755,AA,Shaktoolik,F,33,22
5775,AB,NA,M,33,22
5795,ABB,Unalakleet,F,33,22
5815,ABB,Unalakleet,M,33,22
5835,AX,Transitory,F,33,22
5855,ABXB,NA,F,33,22
5875,ABX,Transitory,F,33,22
5895,AB,NA,M,33,22
5915,ABB,Unalakleet,F,33,22
5935,AB,NA,M,33,22
5955,ABB,Unalakleet,M,33,22
5975,AB,NA,F,33,22
5995,ABX,Transitory,F,33,22
615,AA,Shaktoolik,M,33,22
635,A,NA,M,33,22
655,ABB,Unalakleet,M,33,22
675,AA,Shaktoolik,F,33,22
695,ABB,Unalakleet,F,33,22
6115,ABB,Unalakleet,F,33,22
6135,ABB,Unalakleet,F,33,22
6155,AB,NA,M,33,22
6175,ABB,Unalakleet,M,33,22
6195,A,NA,M,33,22
6215,AA,Shaktoolik,F,33,22
6235,AB,NA,F,33,22
6255,AB,NA,M,33,22
6275,AA,Shaktoolik,M,33,22
6295,AB,NA,F,33,22
6315,AA,Shaktoolik,F,33,22
6335,ABX,Transitory,M,33,22
6355,AB,NA,F,33,22
6375,AX,Transitory,F,33,22
6395,AA,Shaktoolik,F,33,22
6415,ABX,Transitory,M,34,22
6435,A,NA,M,34,22
6455,A,NA,F,34,22
6475,AA,Shaktoolik,F,34,22
6495,A,NA,F,34,22
6515,AB,NA,M,34,22
6535,AA,Shaktoolik,M,34,22
6555,AA,Shaktoolik,M,34,22
6575,ABB,Unalakleet,F,34,22
6595,AA,Shaktoolik,F,34,22
6615,AXAB,NA,M,34,22
6635,ABX,Transitory,M,34,22
6655,AA,Shaktoolik,M,34,22
6675,AA,Shaktoolik,F,34,22
6695,AA,Shaktoolik,F,34,22
6715,AA,Shaktoolik,F,34,22
6735,A,NA,M,34,22
6755,ABB,Unalakleet,F,34,22
6775,AXA,NA,M,34,22
6815,ABB,Unalakleet,M,34,22
6835,ABAB,NA,F,34,22
6855,A,NA,F,34,22
6875,AA,Shaktoolik,M,34,22
6895,AA,Shaktoolik,M,34,22
6915,A,NA,F,34,22
6935,AA,Shaktoolik,F,34,22
6955,ABB,Unalakleet,M,34,22
6975,AA,Shaktoolik,M,34,22
6995,ABB,Unalakleet,M,34,22
715,ABB,Unalakleet,M,34,22
735,AA,Shaktoolik,M,34,22
755,ABX,Transitory,M,34,22
775,AA,Shaktoolik,F,34,22
7115,AA,Shaktoolik,M,34,22
7135,ABB,Unalakleet,M,34,22
7155,AA,Shaktoolik,M,34,22
7175,AA,Shaktoolik,M,34,22
7195,AA,Shaktoolik,F,34,22
7215,ABB,Unalakleet,M,35,22
7235,ABB,Unalakleet,M,35,22
7255,AB,NA,F,35,22
7275,AB,NA,F,35,22
7295,AA,Shaktoolik,M,35,22
7315,AB,NA,F,35,22
7335,AB,NA,F,35,22
7355,AA,Shaktoolik,F,35,22
7375,AB,NA,M,35,22
7395,ABB,Unalakleet,F,35,22
7415,ABB,Unalakleet,M,35,22
7435,AB,NA,F,35,22
7475,ABB,Unalakleet,F,35,22
7495,ABA,NA,F,35,22
7515,AB,NA,F,35,22
7535,AB,NA,F,35,22
7555,AB,NA,M,35,22
7575,AB,NA,F,35,22
7595,A,NA,M,35,22
7615,AXAA,Shaktoolik,F,35,22
7635,AB,NA,F,35,22
7655,ABA,NA,F,35,22
7675,AX,Transitory,M,35,22
7695,ABX,Transitory,M,35,22
7715,AB,NA,M,35,22
7735,A,NA,F,35,22
7755,A,NA,F,35,22
7775,A,NA,F,35,22
7815,AA,Shaktoolik,F,35,22
7835,ABB,Unalakleet,M,35,22
7875,AB,NA,F,35,22
7895,ABX,Transitory,F,35,22
7915,A,NA,F,35,22
7935,AA,Shaktoolik,F,35,22
7955,ABB,Unalakleet,F,35,22
7975,AA,Shaktoolik,M,35,22
7995,AB,NA,F,35,22
