tag.ID,capture,det,recap,ch,,stock,ch,year
5895,A,45,NA,AB,,NA,AB,2020
5935,A,4,NA,AB,,NA,AB,2020
5975,A,4,NA,AB,,NA,AB,2020
6035,A,NA,NA,A,,NA,A,2020
6155,A,4,NA,AB,,NA,AB,2020
6195,A,NA,NA,A,,NA,A,2020
6235,A,4,B,AB,,NA,AB,2020
6255,A,4,NA,AB,,NA,AB,2020
6295,A,45,B,AB,,NA,AB,2020
6355,A,4,NA,AB,,NA,AB,2020
6435,A,NA,NA,A,,NA,A,2020
6455,A,NA,NA,A,,NA,A,2020
6495,A,NA,NA,A,,NA,A,2020
6515,A,4,NA,AB,,NA,AB,2020
6615,A,34,NA,AXAB,,NA,AXAB,2020
6735,A,NA,NA,A,,NA,A,2020
6775,A,33,NA,AXA,,NA,AXA,2020
6835,A,45554556,NA,ABAB,,NA,ABAB,2020
6855,A,NA,NA,A,,NA,A,2020
6915,A,NA,NA,A,,NA,A,2020
7255,A,4,NA,AB,,NA,AB,2020
7275,A,45,NA,AB,,NA,AB,2020
7315,A,4,NA,AB,,NA,AB,2020
7335,A,45,NA,AB,,NA,AB,2020
7375,A,45,NA,AB,,NA,AB,2020
7435,A,45,NA,AB,,NA,AB,2020
7495,A,44,NA,ABA,,NA,ABA,2020
7515,A,4,NA,AB,,NA,AB,2020
7535,A,4,NA,AB,,NA,AB,2020
7555,A,4,NA,AB,,NA,AB,2020
7575,A,4,NA,AB,,NA,AB,2020
7595,A,NA,NA,A,,NA,A,2020
7635,A,45,NA,AB,,NA,AB,2020
7655,A,44,NA,ABA,,NA,ABA,2020
7715,A,45,NA,AB,,NA,AB,2020
7735,A,NA,NA,A,,NA,A,2020
7755,A,NA,NA,A,,NA,A,2020
7775,A,NA,NA,A,,NA,A,2020
7875,A,4,NA,AB,,NA,AB,2020
7915,A,NA,NA,A,,NA,A,2020
7995,A,45,NA,AB,,NA,AB,2020
435,B,4S,NA,BAV,BAV,Shaktoolik,BAA,2020
895,B,5554S,NA,BAV,BAV,Shaktoolik,BAA,2020
1175,B,EE4S,NA,BAV,BWBAV,Shaktoolik,BAA,2020
1335,B,S,NA,BAV,,Shaktoolik,BAA,2020
1675,B,4S,NA,BAV,,Shaktoolik,BAA,2020
2415,B,54S,NA,BAV,,Shaktoolik,BAA,2020
4055,A,T,NA,AV,AV,Shaktoolik,AA,2020
4075,A,S,NA,AV,AV,Shaktoolik,AA,2020
4190,A,4T,NA,ABAV,ABAV,Shaktoolik,ABAA,2021
4330,A,44S,NA,ABAV,ABAV,Shaktoolik,ABAA,2021
4510,A,S,NA,AV,AV,Shaktoolik,AA,2021
4530,A,T,NA,AV,AV,Shaktoolik,AA,2021
4590,A,S,NA,AV,AV,Shaktoolik,AA,2021
4610,A,S,NA,AV,AV,Shaktoolik,AA,2021
4635,A,44S,NA,ABAV,ABAV,Shaktoolik,ABAA,2020
4650,A,S,NA,AV,AV,Shaktoolik,AA,2021
4750,A,33S,NA,AXAV,AXAV,Shaktoolik,AXAA,2021
4810,A,S,NA,AV,AV,Shaktoolik,AA,2021
4930,A,NA,S,AV,AV,Shaktoolik,AA,2021
5275,A,SST,NA,AV,AV,Shaktoolik,AA,2020
5375,A,T,NA,AV,AV,Shaktoolik,AA,2020
5615,A,S,NA,AV,AV,Shaktoolik,AA,2020
5755,A,S,NA,AV,AV,Shaktoolik,AA,2020
6015,A,S,NA,AV,AV,Shaktoolik,AA,2020
6075,A,S,NA,AV,AV,Shaktoolik,AA,2020
6215,A,NA,S,AV,AV,Shaktoolik,AA,2020
6275,A,S,NA,AV,AV,Shaktoolik,AA,2020
6315,A,S,NA,AV,AV,Shaktoolik,AA,2020
6395,A,T,NA,AV,AV,Shaktoolik,AA,2020
6475,A,S,NA,AV,AV,Shaktoolik,AA,2020
6535,A,S,S,AV,AV,Shaktoolik,AA,2020
6555,A,S,NA,AV,AV,Shaktoolik,AA,2020
6595,A,S,NA,AV,AV,Shaktoolik,AA,2020
6655,A,T,NA,AV,AV,Shaktoolik,AA,2020
6675,A,S,NA,AV,AV,Shaktoolik,AA,2020
6695,A,S,NA,AV,AV,Shaktoolik,AA,2020
6715,A,S,NA,AV,AV,Shaktoolik,AA,2020
6875,A,S,NA,AV,AV,Shaktoolik,AA,2020
6895,A,TS,NA,AV,AV,Shaktoolik,AA,2020
6935,A,S,NA,AV,AV,Shaktoolik,AA,2020
6975,A,T,NA,AV,AV,Shaktoolik,AA,2020
7035,A,SST,NA,AV,AV,Shaktoolik,AA,2020
7075,A,S,NA,AV,AV,Shaktoolik,AA,2020
7115,A,S,NA,AV,AV,Shaktoolik,AA,2020
7155,A,S,NA,AV,AV,Shaktoolik,AA,2020
7175,A,S,NA,AV,AV,Shaktoolik,AA,2020
