tag.ID,ch,stock,sex,stat.week,year
3355,B000,NA,M,35,2020
3375,BABX,Transitory,M,35,2020
3395,BB00,Unalakleet,F,35,2020
3415,B000,NA,F,35,2020
3435,B000,NA,M,35,2020
3455,B000,NA,M,35,2020
3475,BB00,Unalakleet,M,35,2020
3495,BB00,Unalakleet,M,35,2020
3515,BB00,Unalakleet,M,35,2020
3535,BB00,Unalakleet,F,35,2020
3555,B000,NA,M,35,2020
3575,BA00,NA,M,35,2020
3595,BB00,Unalakleet,M,35,2020
3615,BB00,Unalakleet,M,35,2020
3655,BB00,Unalakleet,M,35,2020
3675,B000,NA,F,35,2020
3695,BB00,Unalakleet,F,35,2020
3715,BB00,Unalakleet,M,35,2020
3735,BB00,Unalakleet,F,35,2020
3755,B000,NA,M,35,2020
3775,BAB0,NA,F,35,2020
3795,BB00,Unalakleet,F,35,2020
3815,B000,NA,M,35,2020
3835,B000,NA,M,35,2020
3855,BB00,Unalakleet,M,35,2020
3875,B000,NA,M,35,2020
3895,BB00,Unalakleet,M,35,2020
3915,BB00,Unalakleet,F,35,2020
3935,BB00,Unalakleet,M,35,2020
3955,B000,NA,F,35,2020
3975,BB00,Unalakleet,M,35,2020
3995,BX00,Transitory,M,35,2020
4015,ABB0,Unalakleet,M,31,2020
4035,ABB0,Unalakleet,M,31,2020
4055,AA00,Shaktoolik,M,31,2020
4075,AA00,Shaktoolik,M,31,2020
4110,AB00,NA,M,32,2021
4130,AB00,NA,M,32,2021
4135,ABB0,Unalakleet,F,31,2020
4150,AB00,NA,M,32,2021
4155,ABB0,Unalakleet,F,32,2020
4170,A000,NA,M,32,2021
4175,ABX0,Transitory,M,32,2020
4190,ABAA,Shaktoolik,F,32,2021
4195,AB00,NA,F,32,2020
4210,A000,NA,F,32,2021
4215,ABAB,NA,M,32,2020
4230,A000,NA,F,32,2021
4235,ABX0,Transitory,M,32,2020
4250,ABB0,Unalakleet,F,32,2021
4255,ABB0,Unalakleet,M,32,2020
4270,ABB0,Unalakleet,F,32,2021
4275,ABB0,Unalakleet,F,32,2020
4290,AB00,NA,F,32,2021
4295,ABB0,Unalakleet,M,32,2020
4310,A000,NA,M,32,2021
4315,ABB0,Unalakleet,F,32,2020
4330,ABAA,Shaktoolik,F,32,2021
4335,ABB0,Unalakleet,F,32,2020
4350,AAAX,Transitory,M,32,2021
4355,ABX0,Transitory,M,32,2020
4370,AB00,NA,M,32,2021
4375,ABB0,Unalakleet,M,32,2020
4390,A000,NA,M,32,2021
4395,AB00,NA,M,32,2020
4410,A000,NA,M,32,2021
4415,ABB0,Unalakleet,M,32,2020
4430,A000,NA,M,32,2021
4435,ABB0,Unalakleet,M,32,2020
4450,AB00,NA,M,32,2021
4455,AB00,NA,F,32,2020
4470,ABB0,Unalakleet,M,33,2021
4475,ABB0,Unalakleet,M,32,2020
4490,AB00,NA,M,33,2021
4495,ABB0,Unalakleet,M,32,2020
4510,AA00,Shaktoolik,M,33,2021
4515,ABB0,Unalakleet,M,32,2020
4530,AA00,Shaktoolik,F,33,2021
4535,ABB0,Unalakleet,F,33,2020
4550,ABB0,Unalakleet,M,33,2021
4555,ABB0,Unalakleet,M,33,2020
4570,AXAB,NA,M,33,2021
4575,ABB0,Unalakleet,M,33,2020
4590,AA00,Shaktoolik,M,33,2021
4595,ABB0,Unalakleet,M,33,2020
4610,AA00,Shaktoolik,M,33,2021
4615,ABB0,Unalakleet,F,33,2020
4630,AX00,Transitory,M,33,2021
4635,ABAA,Shaktoolik,M,33,2020
4650,AA00,Shaktoolik,M,33,2021
4655,ABB0,Unalakleet,M,33,2020
4670,AXAB,NA,F,33,2021
4675,ABB0,Unalakleet,M,33,2020
4690,AXAX,Transitory,F,33,2021
4695,ABB0,Unalakleet,M,33,2020
4710,ABB0,Unalakleet,M,33,2021
4715,AB00,NA,F,33,2020
4730,A000,NA,F,33,2021
4735,ABB0,Unalakleet,M,33,2020
4750,AXAA,Shaktoolik,M,33,2021
4755,ABB0,Unalakleet,M,33,2020
4770,AB00,NA,M,34,2021
4775,ABB0,Unalakleet,M,33,2020
4790,AB00,NA,M,34,2021
4795,ABB0,Unalakleet,M,33,2020
4810,AA00,Shaktoolik,M,34,2021
4815,ABB0,Unalakleet,M,33,2020
4830,AB00,NA,M,34,2021
4835,ABB0,Unalakleet,M,33,2020
4850,ABB0,Unalakleet,F,34,2021
4855,ABB0,Unalakleet,M,33,2020
4870,A000,NA,M,34,2021
4875,ABB0,Unalakleet,M,33,2020
4890,A000,NA,M,34,2021
4895,ABB0,Unalakleet,M,33,2020
4910,AB00,NA,F,35,2021
4930,AA00,Shaktoolik,M,35,2021
4935,ABB0,Unalakleet,M,33,2020
4950,A000,NA,M,35,2021
4955,ABB0,Unalakleet,M,33,2020
4970,AB00,NA,M,35,2021
4990,AB00,NA,M,35,2021
4995,ABB0,Unalakleet,M,33,2020
5010,AB00,NA,F,35,2021
5015,AB00,NA,F,33,2020
5030,ABB0,Unalakleet,M,35,2021
5035,ABB0,Unalakleet,M,33,2020
5050,A000,NA,M,35,2021
5055,AX00,Transitory,M,33,2020
5070,ABB0,Unalakleet,M,35,2021
5075,ABB0,Unalakleet,F,33,2020
5090,A000,NA,F,35,2021
5095,ABX0,Transitory,F,33,2020
5110,ABXB,NA,F,35,2021
5115,AB00,NA,M,33,2020
5130,AB00,NA,F,35,2021
5135,AB00,NA,F,33,2020
5150,AX00,Transitory,M,35,2021
5155,A000,NA,F,33,2020
5170,AB00,NA,F,35,2021
5175,ABB0,Unalakleet,M,33,2020
5190,ABB0,Unalakleet,F,35,2021
5195,ABB0,Unalakleet,M,33,2020
5210,ABXB,NA,F,35,2021
5215,ABB0,Unalakleet,M,33,2020
5230,AB00,NA,M,35,2021
5235,ABB0,Unalakleet,F,33,2020
5250,A000,NA,M,35,2021
5255,ABB0,Unalakleet,M,33,2020
5270,ABB0,Unalakleet,F,35,2021
5275,AA00,Shaktoolik,F,33,2020
5290,AB00,NA,M,35,2021
5295,ABB0,Unalakleet,F,33,2020
5310,ABB0,Unalakleet,M,35,2021
5315,ABB0,Unalakleet,M,33,2020
5330,AB00,NA,F,35,2021
5335,ABB0,Unalakleet,M,33,2020
5350,ABA0,NA,F,35,2021
5355,ABAX,Transitory,F,33,2020
5370,AB00,NA,M,35,2021
5375,AA00,Shaktoolik,F,33,2020
5390,AB00,NA,F,35,2021
5395,AB00,NA,F,33,2020
5410,ABB0,Unalakleet,M,35,2021
5415,ABX0,Transitory,F,33,2020
5430,AB00,NA,M,35,2021
5435,ABA0,NA,M,33,2020
5450,ABB0,Unalakleet,M,35,2021
5455,A000,NA,F,33,2020
5470,ABB0,Unalakleet,M,35,2021
5475,ABX0,Transitory,F,33,2020
5490,AB00,NA,F,35,2021
5495,ABX0,Transitory,M,33,2020
5510,ABB0,Unalakleet,F,35,2021
5515,ABB0,Unalakleet,F,33,2020
5530,AB00,NA,F,35,2021
5535,ABB0,Unalakleet,M,33,2020
5550,A000,NA,F,35,2021
5555,ABB0,Unalakleet,M,33,2020
5575,ABB0,Unalakleet,M,33,2020
5595,ABB0,Unalakleet,F,33,2020
5615,AA00,Shaktoolik,F,33,2020
5635,A000,NA,F,33,2020
5655,ABB0,Unalakleet,F,33,2020
5675,ABX0,Transitory,F,33,2020
5695,ABA0,NA,M,33,2020
5715,ABX0,Transitory,F,33,2020
5735,ABB0,Unalakleet,M,33,2020
5755,AA00,Shaktoolik,F,33,2020
5775,AB00,NA,M,33,2020
5795,ABB0,Unalakleet,F,33,2020
5815,ABB0,Unalakleet,M,33,2020
5835,AX00,Transitory,F,33,2020
5855,ABXB,NA,F,33,2020
5875,ABX0,Transitory,F,33,2020
5895,AB00,NA,M,33,2020
5915,ABB0,Unalakleet,F,33,2020
5935,AB00,NA,M,33,2020
5955,ABB0,Unalakleet,M,33,2020
5975,AB00,NA,F,33,2020
5995,ABX0,Transitory,F,33,2020
6015,AA00,Shaktoolik,M,33,2020
6035,A000,NA,M,33,2020
6055,ABB0,Unalakleet,M,33,2020
6075,AA00,Shaktoolik,F,33,2020
6095,ABB0,Unalakleet,F,33,2020
6115,ABB0,Unalakleet,F,33,2020
6135,ABB0,Unalakleet,F,33,2020
6155,AB00,NA,M,33,2020
6175,ABB0,Unalakleet,M,33,2020
6195,A000,NA,M,33,2020
6215,AA00,Shaktoolik,F,33,2020
6235,AB00,NA,F,33,2020
6255,AB00,NA,M,33,2020
6275,AA00,Shaktoolik,M,33,2020
6295,AB00,NA,F,33,2020
6315,AA00,Shaktoolik,F,33,2020
6335,ABX0,Transitory,M,33,2020
6355,AB00,NA,F,33,2020
