tag.ID,ch,stock,sex
970,BB00,Unalakleet,M
975,B000,NA,M
990,B000,NA,F
995,BB00,Unalakleet,M
1010,BXBX,Transitory,M
1015,BB00,Unalakleet,M
1030,BB00,Unalakleet,M
1035,BBBB,Unalakleet,M
1050,B000,NA,M
1055,BABB,Unalakleet,F
1070,BB00,Unalakleet,M
1075,BB00,Unalakleet,F
1090,BB00,Unalakleet,F
1095,BB00,Unalakleet,M
1110,BB00,Unalakleet,F
1115,BAB0,NA,M
1130,BXBB,Unalakleet,M
1135,BB00,Unalakleet,M
1150,B000,NA,M
1155,BABB,Unalakleet,M
1170,B000,NA,M
1175,BAA0,Shaktoolik,M
1190,B000,NA,M
1195,BABB,Unalakleet,M
1210,BB00,Unalakleet,F
1215,BB00,Unalakleet,F
1230,B000,NA,M
1235,BB00,Unalakleet,M
1250,BA00,NA,F
1255,BABB,Unalakleet,F
1270,B000,NA,M
1275,BXBB,Unalakleet,M
1290,BAB0,NA,M
1295,BA00,NA,M
1310,BB00,Unalakleet,M
1315,BABB,Unalakleet,M
1330,B000,NA,M
1335,BAA0,Shaktoolik,M
1350,BB00,Unalakleet,M
1355,BA00,NA,F
1370,BB00,Unalakleet,M
1375,BABA,Transitory,M
1390,BB00,Unalakleet,F
1395,BAB0,NA,M
1410,BAB0,NA,F
1415,BA00,NA,M
1430,BAX0,Transitory,M
1435,BX00,Transitory,M
1450,BB00,Unalakleet,F
1455,BB00,Unalakleet,F
1470,BB00,Unalakleet,F
1475,B000,NA,M
1490,B000,NA,F
1495,BB00,Unalakleet,F
1510,BB00,Unalakleet,F
1515,BB00,Unalakleet,F
1530,B000,NA,F
1535,BB00,Unalakleet,F
1550,B000,NA,M
1555,BA00,NA,M
1570,B000,NA,F
1575,BB00,Unalakleet,M
1590,B000,NA,F
1595,B000,NA,M
1610,B000,NA,F
1615,BB00,Unalakleet,M
1630,BB00,Unalakleet,M
1650,BB00,Unalakleet,F
1655,BAX0,Transitory,M
1670,B000,NA,F
1675,BAA0,Shaktoolik,M
1690,B000,NA,M
1695,BABB,Unalakleet,M
1710,B000,NA,F
1715,B000,NA,F
1730,BB00,Unalakleet,M
1735,BB00,Unalakleet,F
1750,B000,NA,F
1755,BB00,Unalakleet,F
1770,BB00,Unalakleet,M
1775,BB00,Unalakleet,M
1790,BA00,NA,F
1795,BB00,Unalakleet,M
1810,B000,NA,F
1815,BB00,Unalakleet,F
1830,BAB0,NA,F
1835,BX00,Transitory,M
1850,B000,NA,M
1855,BB00,Unalakleet,M
1870,BB00,Unalakleet,M
1875,BB00,Unalakleet,M
1890,B000,NA,F
1895,B000,NA,F
1910,B000,NA,M
1915,BB00,Unalakleet,M
1930,BA00,NA,M
1935,B000,NA,M
1950,B000,NA,F
1955,BB00,Unalakleet,F
1970,BB00,Unalakleet,F
1975,BB00,Unalakleet,M
1990,BAB0,NA,F
1995,BB00,Unalakleet,M
2010,BB00,Unalakleet,M
2015,BB00,Unalakleet,M
2030,BB00,Unalakleet,F
2050,B000,NA,M
2055,BX00,Transitory,M
2070,B000,NA,F
2075,B000,NA,F
2090,BB00,Unalakleet,F
2095,B000,NA,M
2110,B000,NA,F
2115,BB00,Unalakleet,M
2130,BB00,Unalakleet,M
2135,BB00,Unalakleet,F
2150,BB00,Unalakleet,M
2155,BB00,Unalakleet,M
2170,BB00,Unalakleet,M
2175,BXBB,Unalakleet,M
2190,B000,NA,F
2195,BAX0,Transitory,F
2210,B000,NA,F
2215,BB00,Unalakleet,M
2230,B000,NA,F
2235,BB00,Unalakleet,F
2250,B000,NA,M
2270,B000,NA,F
2275,B000,NA,F
2290,BB00,Unalakleet,M
2295,BAAA,NA,M
2310,B000,NA,F
2315,BB00,Unalakleet,F
2330,BB00,Unalakleet,M
2335,BB00,Unalakleet,F
2350,BB00,Unalakleet,M
2355,BABB,Unalakleet,F
2370,B000,NA,M
2375,BB00,Unalakleet,F
2390,BXB0,NA,M
2395,BB00,Unalakleet,M
2410,B000,NA,F
2415,BAA0,Shaktoolik,M
2430,B000,NA,M
2435,B000,NA,M
2450,B000,NA,F
2455,BX00,Transitory,M
2470,B000,NA,F
2475,BB00,Unalakleet,M
2490,B000,NA,M
2495,BB00,Unalakleet,F
2515,BB00,Unalakleet,F
2535,BX00,Transitory,M
2555,BB00,Unalakleet,F
2575,BB00,Unalakleet,F
2595,B000,NA,M
2615,BB00,Unalakleet,F
2635,B000,NA,F
2655,B000,NA,F
2675,BA00,NA,F
2695,BBB0,NA,M
2715,BB00,Unalakleet,M
2735,BB00,Unalakleet,M
2755,B000,NA,F
2775,BB00,Unalakleet,M
2795,BB00,Unalakleet,F
2815,BB00,Unalakleet,F
2835,BX00,Transitory,M
2855,BB00,Unalakleet,F
2875,B000,NA,F
2895,BX00,Transitory,M
2915,BABB,Unalakleet,M
2935,BB00,Unalakleet,M
2955,BB00,Unalakleet,F
2975,BB00,Unalakleet,M
2995,BB00,Unalakleet,F
3015,B000,NA,F
3035,B000,NA,F
3055,B000,NA,M
3075,BB00,Unalakleet,F
3095,B000,NA,M
3115,BB00,Unalakleet,M
3135,B000,NA,M
3155,B000,NA,M
3175,BB00,Unalakleet,M
3195,B000,NA,F
3215,BB00,Unalakleet,M
3235,B000,NA,M
3255,B000,NA,F
3275,B000,NA,M
3295,B000,NA,M
3315,B000,NA,F
3335,BB00,Unalakleet,M
3355,B000,NA,M
3375,BABX,Transitory,M
3395,BB00,Unalakleet,F
3415,B000,NA,F
3435,B000,NA,M
3455,B000,NA,M
3475,BB00,Unalakleet,M
3495,BB00,Unalakleet,M
3515,BB00,Unalakleet,M
3535,BB00,Unalakleet,F
3555,B000,NA,M
3575,BA00,NA,M
3595,BB00,Unalakleet,M
3615,BB00,Unalakleet,M
3655,BB00,Unalakleet,M
3675,B000,NA,F
3695,BB00,Unalakleet,F
3715,BB00,Unalakleet,M
3735,BB00,Unalakleet,F
3755,B000,NA,M
3775,BAB0,NA,F
3795,BB00,Unalakleet,F
3815,B000,NA,M
3835,B000,NA,M
3855,BB00,Unalakleet,M
3875,B000,NA,M
3895,BB00,Unalakleet,M
3915,BB00,Unalakleet,F
3935,BB00,Unalakleet,M
3955,B000,NA,F
3975,BB00,Unalakleet,M
3995,BX00,Transitory,M
4015,ABB0,Unalakleet,M
4035,ABB0,Unalakleet,M
4055,AA00,Shaktoolik,M
4075,AA00,Shaktoolik,M
4110,AB00,NA,M
4130,AB00,NA,M
4135,ABB0,Unalakleet,F
4150,AB00,NA,M
4155,ABB0,Unalakleet,F
4170,A000,NA,M
4175,ABX0,Transitory,M
4190,ABAA,Shaktoolik,F
4195,AB00,NA,F
4210,A000,NA,F
4215,AAAB,NA,M
4230,A000,NA,F
4235,ABX0,Transitory,M
4250,ABB0,Unalakleet,F
4255,ABB0,Unalakleet,M
4270,ABB0,Unalakleet,F
4275,ABB0,Unalakleet,F
4290,AB00,NA,F
4295,ABB0,Unalakleet,M
4310,A000,NA,M
4315,ABB0,Unalakleet,F
4330,ABAA,Shaktoolik,F
4335,ABB0,Unalakleet,F
4350,AAAX,Transitory,M
4355,ABX0,Transitory,M
4370,AB00,NA,M
4375,ABB0,Unalakleet,M
4390,A000,NA,M
4395,AB00,NA,M
4410,A000,NA,M
4415,ABB0,Unalakleet,M
4430,A000,NA,M
4435,ABB0,Unalakleet,M
4450,AB00,NA,M
4455,AB00,NA,F
4470,ABB0,Unalakleet,M
4475,ABB0,Unalakleet,M
4490,AB00,NA,M
4495,ABB0,Unalakleet,M
4510,AA00,Shaktoolik,M
4515,ABB0,Unalakleet,M
4530,AA00,Shaktoolik,F
4535,ABB0,Unalakleet,F
4550,ABB0,Unalakleet,M
4555,ABB0,Unalakleet,M
4570,AXAB,NA,M
4575,ABB0,Unalakleet,M
4590,AA00,Shaktoolik,M
4595,ABB0,Unalakleet,M
4610,AA00,Shaktoolik,M
4615,ABB0,Unalakleet,F
4630,AX00,Transitory,M
4635,ABAA,Shaktoolik,M
4650,AA00,Shaktoolik,M
4655,ABB0,Unalakleet,M
4670,AXAB,NA,F
4675,ABB0,Unalakleet,M
4690,AXAX,Transitory,F
4695,ABB0,Unalakleet,M
4710,ABB0,Unalakleet,M
4715,AB00,NA,F
4730,A000,NA,F
4735,ABB0,Unalakleet,M
4750,AXAA,Shaktoolik,M
4755,ABB0,Unalakleet,M
4770,AB00,NA,M
4775,ABB0,Unalakleet,M
4790,AB00,NA,M
4795,ABB0,Unalakleet,M
4810,AA00,Shaktoolik,M
4815,ABB0,Unalakleet,M
4830,AB00,NA,M
4835,ABB0,Unalakleet,M
4850,ABB0,Unalakleet,F
4855,ABB0,Unalakleet,M
4870,A000,NA,M
4875,ABB0,Unalakleet,M
4890,A000,NA,M
4895,ABB0,Unalakleet,M
4910,AB00,NA,F
4930,AA00,Shaktoolik,M
4935,ABB0,Unalakleet,M
4950,A000,NA,M
4955,ABB0,Unalakleet,M
4970,AB00,NA,M
4990,AB00,NA,M
4995,ABB0,Unalakleet,M
5010,AB00,NA,F
5015,AB00,NA,F
5030,ABB0,Unalakleet,M
5035,ABB0,Unalakleet,M
5050,A000,NA,M
5055,AX00,Transitory,M
5070,ABB0,Unalakleet,M
5075,ABB0,Unalakleet,F
5090,A000,NA,F
5095,ABX0,Transitory,F
5110,ABXB,NA,F
5115,AB00,NA,M
5130,AB00,NA,F
5135,AB00,NA,F
5150,AX00,Transitory,M
5155,A000,NA,F
5170,AB00,NA,F
5175,ABB0,Unalakleet,M
5190,ABB0,Unalakleet,F
5195,ABB0,Unalakleet,M
5210,ABXB,NA,F
5215,ABB0,Unalakleet,M
5230,AB00,NA,M
5235,ABB0,Unalakleet,F
5250,A000,NA,M
5255,ABB0,Unalakleet,M
5270,ABB0,Unalakleet,F
5275,AA00,Shaktoolik,F
5290,AB00,NA,M
5295,ABB0,Unalakleet,F
5310,ABB0,Unalakleet,M
5315,ABB0,Unalakleet,M
5330,AB00,NA,F
5335,ABB0,Unalakleet,M
5350,ABA0,NA,F
5355,ABAX,Transitory,F
5370,AB00,NA,M
5375,AA00,Shaktoolik,F
5390,AB00,NA,F
5395,AB00,NA,F
5410,ABB0,Unalakleet,M
5415,ABX0,Transitory,F
5430,AB00,NA,M
5435,ABA0,NA,M
5450,ABB0,Unalakleet,M
5455,A000,NA,F
5470,ABB0,Unalakleet,M
5475,ABX0,Transitory,F
5490,AB00,NA,F
5495,ABX0,Transitory,M
5510,ABB0,Unalakleet,F
5515,ABB0,Unalakleet,F
5530,AB00,NA,F
5535,ABB0,Unalakleet,M
5550,A000,NA,F
5555,ABB0,Unalakleet,M
5575,ABB0,Unalakleet,M
5595,ABB0,Unalakleet,F
5615,AA00,Shaktoolik,F
5635,A000,NA,F
5655,ABB0,Unalakleet,F
5675,ABX0,Transitory,F
5695,ABA0,NA,M
5715,ABX0,Transitory,F
5735,ABB0,Unalakleet,M
5755,AA00,Shaktoolik,F
5775,AB00,NA,M
5795,ABB0,Unalakleet,F
5815,ABB0,Unalakleet,M
5835,AX00,Transitory,F
5855,ABXB,NA,F
5875,ABX0,Transitory,F
5895,AB00,NA,M
5915,ABB0,Unalakleet,F
5935,AB00,NA,M
5955,ABB0,Unalakleet,M
5975,AB00,NA,F
5995,ABX0,Transitory,F
6015,AA00,Shaktoolik,M
6035,A000,NA,M
6055,ABB0,Unalakleet,M
6075,AA00,Shaktoolik,F
6095,ABB0,Unalakleet,F
6115,ABB0,Unalakleet,F
6135,ABB0,Unalakleet,F
6155,AB00,NA,M
6175,ABB0,Unalakleet,M
6195,A000,NA,M
6215,AA00,Shaktoolik,F
6235,AB00,NA,F
6255,AB00,NA,M
6275,AA00,Shaktoolik,M
6295,AB00,NA,F
6315,AA00,Shaktoolik,F
6335,ABX0,Transitory,M
6355,AB00,NA,F
6375,AX00,Transitory,F
6395,AA00,Shaktoolik,F
6415,ABX0,Transitory,M
6435,A000,NA,M
6455,A000,NA,F
6475,AA00,Shaktoolik,F
6495,A000,NA,F
6515,AB00,NA,M
6535,AA00,Shaktoolik,M
6555,AA00,Shaktoolik,M
6575,ABB0,Unalakleet,F
6595,AA00,Shaktoolik,F
6615,AXAB,NA,M
6635,ABX0,Transitory,M
6655,AA00,Shaktoolik,M
6675,AA00,Shaktoolik,F
6695,AA00,Shaktoolik,F
6715,AA00,Shaktoolik,F
6735,A000,NA,M
6755,ABB0,Unalakleet,F
6775,AXA0,NA,M
6815,ABB0,Unalakleet,M
6835,ABAB,NA,F
6855,A000,NA,F
6875,AA00,Shaktoolik,M
6895,AA00,Shaktoolik,M
6915,A000,NA,F
6935,AA00,Shaktoolik,F
6955,ABB0,Unalakleet,M
6975,AA00,Shaktoolik,M
6995,ABB0,Unalakleet,M
7015,ABB0,Unalakleet,M
7035,AA00,Shaktoolik,M
7055,ABX0,Transitory,M
7075,AA00,Shaktoolik,F
7115,AA00,Shaktoolik,M
7135,ABB0,Unalakleet,M
7155,AA00,Shaktoolik,M
7175,AA00,Shaktoolik,M
7195,AA00,Shaktoolik,F
7215,ABB0,Unalakleet,M
7235,ABB0,Unalakleet,M
7255,AB00,NA,F
7275,AB00,NA,F
7295,AA00,Shaktoolik,M
7315,AB00,NA,F
7335,AB00,NA,F
7355,AA00,Shaktoolik,F
7375,AB00,NA,M
7395,ABB0,Unalakleet,F
7415,ABB0,Unalakleet,M
7435,AB00,NA,F
7475,ABB0,Unalakleet,F
7495,ABA0,NA,F
7515,AB00,NA,F
7535,AB00,NA,F
7555,AB00,NA,M
7575,AB00,NA,F
7595,A000,NA,M
7615,AXAA,Shaktoolik,F
7635,AB00,NA,F
7655,ABA0,NA,F
7675,AX00,Transitory,M
7695,ABX0,Transitory,M
7715,AB00,NA,M
7735,A000,NA,F
7755,A000,NA,F
7775,A000,NA,F
7815,AA00,Shaktoolik,F
7835,ABB0,Unalakleet,M
7875,AB00,NA,F
7895,ABX0,Transitory,F
7915,A000,NA,F
7935,AA00,Shaktoolik,F
7955,ABB0,Unalakleet,F
7975,AA00,Shaktoolik,M
7995,AB00,NA,F
