"","tag.ID","ch","stat.week","year","species","stock","sex"
"171",4515,"ABB",32,2020,"coho","Unalakleet","M"
"172",4535,"ABB",33,2020,"coho","Unalakleet","F"
"173",4550,"ABB",33,2021,"coho","Unalakleet","M"
"174",4555,"ABB",33,2020,"coho","Unalakleet","M"
"175",4575,"ABB",33,2020,"coho","Unalakleet","M"
"176",4595,"ABB",33,2020,"coho","Unalakleet","M"
"177",4615,"ABB",33,2020,"coho","Unalakleet","F"
"178",4655,"ABB",33,2020,"coho","Unalakleet","M"
"179",4675,"ABB",33,2020,"coho","Unalakleet","M"
"180",4695,"ABB",33,2020,"coho","Unalakleet","M"
"181",4710,"ABB",33,2021,"coho","Unalakleet","M"
"182",4735,"ABB",33,2020,"coho","Unalakleet","M"
"183",4755,"ABB",33,2020,"coho","Unalakleet","M"
"184",4775,"ABB",33,2020,"coho","Unalakleet","M"
"185",4795,"ABB",33,2020,"coho","Unalakleet","M"
"186",4815,"ABB",33,2020,"coho","Unalakleet","M"
"187",4835,"ABB",33,2020,"coho","Unalakleet","M"
"188",4850,"ABB",34,2021,"coho","Unalakleet","F"
"189",4855,"ABB",33,2020,"coho","Unalakleet","M"
"190",4875,"ABB",33,2020,"coho","Unalakleet","M"
"191",4895,"ABB",33,2020,"coho","Unalakleet","M"
"192",4935,"ABB",33,2020,"coho","Unalakleet","M"
"193",4955,"ABB",33,2020,"coho","Unalakleet","M"
"194",4995,"ABB",33,2020,"coho","Unalakleet","M"
"195",5030,"ABB",35,2021,"coho","Unalakleet","M"
"196",5035,"ABB",33,2020,"coho","Unalakleet","M"
"197",5070,"ABB",35,2021,"coho","Unalakleet","M"
"198",5075,"ABB",33,2020,"coho","Unalakleet","F"
"199",5175,"ABB",33,2020,"coho","Unalakleet","M"
"200",5190,"ABB",35,2021,"coho","Unalakleet","F"
"201",5195,"ABB",33,2020,"coho","Unalakleet","M"
"202",5215,"ABB",33,2020,"coho","Unalakleet","M"
