"tag.ID","ch","stock","year","sex","stat.week"
1875,"0000BW","Unalakleet",2020,"M",33
1915,"0000BW","Unalakleet",2020,"M",33
1955,"0000BW","Unalakleet",2020,"F",33
1970,"0000BW","Unalakleet",2021,"F",35
1975,"0000BW","Unalakleet",2020,"M",33
1995,"0000BW","Unalakleet",2020,"M",33
2010,"0000BW","Unalakleet",2021,"M",35
2015,"0000BW","Unalakleet",2020,"M",33
2030,"0000BW","Unalakleet",2021,"F",35
2090,"0000BW","Unalakleet",2021,"F",35
2115,"0000BW","Unalakleet",2020,"M",33
2130,"0000BW","Unalakleet",2021,"M",35
2135,"0000BW","Unalakleet",2020,"F",33
2150,"0000BW","Unalakleet",2021,"M",35
2155,"0000BW","Unalakleet",2020,"M",33
2170,"0000BW","Unalakleet",2021,"M",35
2175,"00BXBW","Unalakleet",2020,"M",33
2215,"0000BW","Unalakleet",2020,"M",33
2235,"0000BW","Unalakleet",2020,"F",33
2290,"0000BW","Unalakleet",2021,"M",35
2315,"0000BW","Unalakleet",2020,"F",33
2330,"0000BW","Unalakleet",2021,"M",35
2335,"0000BW","Unalakleet",2020,"F",33
2350,"0000BW","Unalakleet",2021,"M",35
2355,"00BABW","Unalakleet",2020,"F",33
2375,"0000BW","Unalakleet",2020,"F",33
2395,"0000BW","Unalakleet",2020,"M",33
2475,"0000BW","Unalakleet",2020,"M",34
2495,"0000BW","Unalakleet",2020,"F",34
2515,"0000BW","Unalakleet",2020,"F",34
2555,"0000BW","Unalakleet",2020,"F",34
2575,"0000BW","Unalakleet",2020,"F",34
2615,"0000BW","Unalakleet",2020,"F",34
2715,"0000BW","Unalakleet",2020,"M",34
2735,"0000BW","Unalakleet",2020,"M",34
2775,"0000BW","Unalakleet",2020,"M",34
2795,"0000BW","Unalakleet",2020,"F",34
2815,"0000BW","Unalakleet",2020,"F",34
2855,"0000BW","Unalakleet",2020,"F",34
2915,"BAXABW","Unalakleet",2020,"M",34
2935,"0000BW","Unalakleet",2020,"M",34
2955,"0000BW","Unalakleet",2020,"F",34
2975,"0000BW","Unalakleet",2020,"M",34
2995,"0000BW","Unalakleet",2020,"F",34
3075,"0000BW","Unalakleet",2020,"F",34
3115,"0000BW","Unalakleet",2020,"M",34
3175,"0000BW","Unalakleet",2020,"M",34
3215,"0000BW","Unalakleet",2020,"M",35
3335,"0000BW","Unalakleet",2020,"M",35
3395,"0000BW","Unalakleet",2020,"F",35
3475,"0000BW","Unalakleet",2020,"M",35
3495,"0000BW","Unalakleet",2020,"M",35
3515,"0000BW","Unalakleet",2020,"M",35
3535,"0000BW","Unalakleet",2020,"F",35
3595,"0000BW","Unalakleet",2020,"M",35
3615,"0000BW","Unalakleet",2020,"M",35
3655,"0000BW","Unalakleet",2020,"M",35
3695,"0000BW","Unalakleet",2020,"F",35
3715,"0000BW","Unalakleet",2020,"M",35
3735,"0000BW","Unalakleet",2020,"F",35
3795,"0000BW","Unalakleet",2020,"F",35
3855,"0000BW","Unalakleet",2020,"M",35
3895,"0000BW","Unalakleet",2020,"M",35
3915,"0000BW","Unalakleet",2020,"F",35
3935,"0000BW","Unalakleet",2020,"M",35
