"","tag.ID","ch","stock","sex","stat.week","year"
"188",1955,"00BW","Unalakleet","F",33,2020
"189",1970,"00BW","Unalakleet","F",35,2021
"190",1975,"00BW","Unalakleet","M",33,2020
"191",1990,"0BAB",NA,"F",35,2021
"192",1995,"00BW","Unalakleet","M",33,2020
"193",2010,"00BW","Unalakleet","M",35,2021
"194",2015,"00BW","Unalakleet","M",33,2020
"195",2030,"00BW","Unalakleet","F",35,2021
"196",2050,"000B",NA,"M",35,2021
"197",2055,"00BX","Transitory","M",33,2020
"198",2070,"000B",NA,"F",35,2021
"199",2075,"000B",NA,"F",33,2020
"200",2090,"00BW","Unalakleet","F",35,2021
"201",2095,"000B",NA,"M",33,2020
"202",2110,"000B",NA,"F",35,2021
"203",2115,"00BW","Unalakleet","M",33,2020
"204",2130,"00BW","Unalakleet","M",35,2021
"205",2135,"00BW","Unalakleet","F",33,2020
"206",2150,"00BW","Unalakleet","M",35,2021
"207",2155,"00BW","Unalakleet","M",33,2020
"208",2170,"00BW","Unalakleet","M",35,2021
"209",2175,"BXBW","Unalakleet","M",33,2020
"210",2190,"000B",NA,"F",35,2021
"211",2195,"0BAX","Transitory","F",33,2020
"212",2210,"000B",NA,"F",35,2021
"213",2215,"00BW","Unalakleet","M",33,2020
"214",2230,"000B",NA,"F",35,2021
"215",2235,"00BW","Unalakleet","F",33,2020
"216",2250,"000B",NA,"M",35,2021
"217",2270,"000B",NA,"F",35,2021
"218",2275,"000B",NA,"F",33,2020
"219",2290,"00BW","Unalakleet","M",35,2021
"220",2295,"BAWA",NA,"M",33,2020
"221",2310,"000B",NA,"F",35,2021
"222",2315,"00BW","Unalakleet","F",33,2020
"223",2330,"00BW","Unalakleet","M",35,2021
"224",2335,"00BW","Unalakleet","F",33,2020
"225",2350,"00BW","Unalakleet","M",35,2021
"226",2355,"BABW","Unalakleet","F",33,2020
"227",2370,"000B",NA,"M",35,2021
"228",2375,"00BW","Unalakleet","F",33,2020
"229",2390,"0BXB",NA,"M",35,2021
"230",2395,"00BW","Unalakleet","M",33,2020
"231",2410,"000B",NA,"F",35,2021
"232",2415,"0BAV","Shaktoolik","M",34,2020
"233",2430,"000B",NA,"M",35,2021
"234",2435,"000B",NA,"M",34,2020
"235",2450,"000B",NA,"F",35,2021
"236",2455,"00BX","Transitory","M",34,2020
"237",2470,"000B",NA,"F",35,2021
"238",2475,"00BW","Unalakleet","M",34,2020
"239",2490,"000B",NA,"M",35,2021
"240",2495,"00BW","Unalakleet","F",34,2020
"241",2515,"00BW","Unalakleet","F",34,2020
"242",2535,"00BX","Transitory","M",34,2020
"243",2555,"00BW","Unalakleet","F",34,2020
"244",2575,"00BW","Unalakleet","F",34,2020
"245",2595,"000B",NA,"M",34,2020
"246",2615,"00BW","Unalakleet","F",34,2020
"247",2635,"000B",NA,"F",34,2020
"248",2655,"000B",NA,"F",34,2020
"249",2675,"00BA",NA,"F",34,2020
"250",2695,"BWBA",NA,"M",34,2020
"251",2715,"00BW","Unalakleet","M",34,2020
"252",2735,"00BW","Unalakleet","M",34,2020
"253",2755,"000B",NA,"F",34,2020
"254",2775,"00BW","Unalakleet","M",34,2020
"255",2795,"00BW","Unalakleet","F",34,2020
"256",2815,"00BW","Unalakleet","F",34,2020
"257",2835,"00BX","Transitory","M",34,2020
"258",2855,"00BW","Unalakleet","F",34,2020
