tag.ID,ch,stock,sex,stat.week
2015,BW00,Unalakleet,M,33
2030,BW00,Unalakleet,F,35
2050,B000,NA,M,35
2055,BX00,Transitory,M,33
2070,B000,NA,F,35
2075,B000,NA,F,33
2090,BW00,Unalakleet,F,35
2095,B000,NA,M,33
2110,B000,NA,F,35
2115,BW00,Unalakleet,M,33
2130,BW00,Unalakleet,M,35
2135,BW00,Unalakleet,F,33
2150,BW00,Unalakleet,M,35
2155,BW00,Unalakleet,M,33
2170,BW00,Unalakleet,M,35
2175,BXBW,Unalakleet,M,33
2190,B000,NA,F,35
2195,BAX0,Transitory,F,33
2210,B000,NA,F,35
2215,BW00,Unalakleet,M,33
2230,B000,NA,F,35
2235,BW00,Unalakleet,F,33
2250,B000,NA,M,35
2270,B000,NA,F,35
2275,B000,NA,F,33
2290,BW00,Unalakleet,M,35
2295,BAWA,NA,M,33
2310,B000,NA,F,35
2315,BW00,Unalakleet,F,33
2330,BW00,Unalakleet,M,35
2335,BW00,Unalakleet,F,33
2350,BW00,Unalakleet,M,35
2355,BABW,Unalakleet,F,33
2370,B000,NA,M,35
2375,BW00,Unalakleet,F,33
2390,BXB0,NA,M,35
2395,BW00,Unalakleet,M,33
2410,B000,NA,F,35
2415,BAV0,Shaktoolik,M,34
2430,B000,NA,M,35
2435,B000,NA,M,34
2450,B000,NA,F,35
2455,BX00,Transitory,M,34
2470,B000,NA,F,35
2475,BW00,Unalakleet,M,34
2490,B000,NA,M,35
2495,BW00,Unalakleet,F,34
2515,BW00,Unalakleet,F,34
2535,BX00,Transitory,M,34
2555,BW00,Unalakleet,F,34
2575,BW00,Unalakleet,F,34
2595,B000,NA,M,34
2615,BW00,Unalakleet,F,34
2635,B000,NA,F,34
2655,B000,NA,F,34
2675,BA00,NA,F,34
2695,BWBA,NA,M,34
2715,BW00,Unalakleet,M,34
2735,BW00,Unalakleet,M,34
2755,B000,NA,F,34
2775,BW00,Unalakleet,M,34
2795,BW00,Unalakleet,F,34
2815,BW00,Unalakleet,F,34
2835,BX00,Transitory,M,34
2855,BW00,Unalakleet,F,34
2875,B000,NA,F,34
2895,BX00,Transitory,M,34
2915,BABW,Unalakleet,M,34
2935,BW00,Unalakleet,M,34
2955,BW00,Unalakleet,F,34
2975,BW00,Unalakleet,M,34
2995,BW00,Unalakleet,F,34
3015,B000,NA,F,34
3035,B000,NA,F,34
3055,B000,NA,M,34
3075,BW00,Unalakleet,F,34
3095,B000,NA,M,34
3115,BW00,Unalakleet,M,34
3135,B000,NA,M,34
3155,B000,NA,M,34
3175,BW00,Unalakleet,M,34
3195,B000,NA,F,34
3215,BW00,Unalakleet,M,35
3235,B000,NA,M,35
3255,B000,NA,F,35
3275,B000,NA,M,35
3295,B000,NA,M,35
3315,B000,NA,F,35
3335,BW00,Unalakleet,M,35
3355,B000,NA,M,35
3375,BABX,Transitory,M,35
3395,BW00,Unalakleet,F,35
3415,B000,NA,F,35
