tag.ID,capture,det,recap,ch
3255,B,5,NA,B
3275,B,5,NA,B
3295,B,5,NA,B
3315,B,5555,NA,B
3335,B,5U,NA,BB
3355,B,55,NA,B
3375,B,5565467,NA,BABX
3395,B,5U,NA,BB
3415,B,555555,NA,B
3435,B,55,NA,B
3455,B,5,NA,B
3475,B,5U,NA,BB
3495,B,5U,NA,BB
3515,B,55U,NA,BB
3535,B,5U,NA,BB
3555,B,55,NA,B
3575,B,54,NA,BA
3595,B,5U,NA,BB
3615,B,5U,NA,BB
3655,B,55U,NA,BB
3675,B,55,NA,B
3695,B,55U,NA,BB
3715,B,5E,NA,BB
3735,B,5E,NA,BB
3755,B,55,NA,B
3775,B,5455,NA,BAB
3795,B,5U,NA,BB
3815,B,5,NA,B
3835,B,5,NA,B
3855,B,5U,NA,BB
3875,B,55,NA,B
3895,B,55U,NA,BB
3915,B,5U,U,BB
3935,B,5U,NA,BB
3955,B,5,NA,B
3975,B,55U,NA,BB
3995,B,567,NA,BX
4015,A,445U,NA,ABB
4035,A,45U,NA,ABB
4055,A,T,NA,AA
4075,A,S,NA,AA
4110,A,45,B,AB
4130,A,45,B,AB
4135,A,EE5U,NA,ABB
4150,A,4,B,AB
4155,A,45U,NA,ABB
4170,A,NA,A,A
4175,A,4567,NA,ABX
4190,A,4T,NA,ABAA
4195,A,45,NA,AB
4210,A,NA,NA,A
4215,A,SSS4,NA,AAAB
4230,A,NA,NA,A
4235,A,3234567,NA,ABX
4250,A,45U,NA,ABB
4255,A,67U,U,ABB
4270,A,5U,NA,ABB
4275,A,5U,NA,ABB
4290,A,4,B,AB
4295,A,45U,NA,ABB
4310,A,NA,NA,A
4315,A,4U,NA,ABB
4330,A,44S,NA,ABAA
4335,A,345U,NA,ABB
4350,A,4SS33,NA,AAAX
4355,A,3467,NA,ABX
4370,A,4,B,AB
4375,A,45U,NA,ABB
4390,A,NA,NA,A
4395,A,45,NA,AB
4410,A,NA,NA,A
4415,A,4E,NA,ABB
4430,A,NA,NA,A
4435,A,45U,NA,ABB
4450,A,4,B,AB
4455,A,4,NA,AB
4470,A,45U,NA,ABB
4475,A,45U,NA,ABB
4490,A,4,B,AB
4495,A,4E,NA,ABB
4510,A,S,NA,AA
4515,A,45U,NA,ABB
4530,A,T,NA,AA
4535,A,455U,NA,ABB
4550,A,45U,NA,ABB
4555,A,SS45U,NA,ABB
4570,A,3455,NA,AXAB
4575,A,455U,U,ABB
4590,A,S,NA,AA
4595,A,4U,NA,ABB
4610,A,S,NA,AA
4615,A,45U,NA,ABB
4630,A,1,NA,AX
4635,A,44S,NA,ABAA
4650,A,S,NA,AA
4655,A,4445U,NA,ABB
4670,A,34,NA,AXAB
4675,A,44E,NA,ABB
4690,A,332,NA,AXAX
4695,A,4,E,ABB
