tag.ID,date.time,lat,long,sex,species,stock
735,8/9/2020 20:00,63.555623,-161.051248,M,coho,6
750,8/12/2021 10:14,63.91186,-160.81835,M,coho,NA
750,8/12/2021 10:25,63.953841,-160.857668,M,coho,NA
750,8/13/2021 13:03,63.557764,-161.056892,M,coho,NA
750,9/1/2021 5:11,63.95299,-160.888171,M,coho,NA
755,8/6/2020 15:04,64.02528,-160.91644,M,sockeye,6
755,8/7/2020 2:35,63.953475,-160.869926,M,sockeye,6
755,8/7/2020 13:45,63.555623,-161.051248,M,sockeye,6
770,8/12/2021 10:16,63.91186,-160.81835,M,coho,6
770,8/12/2021 10:30,63.953644,-160.863799,M,coho,6
770,8/12/2021 22:12,63.95299,-160.888171,M,coho,6
770,8/13/2021 9:44,63.953841,-160.857668,M,coho,6
770,8/14/2021 19:41,63.557764,-161.056892,M,coho,6
770,8/21/2021 12:00,63.555623,-161.051248,M,coho,6
790,8/12/2021 10:22,63.91186,-160.81835,M,coho,NA
790,8/14/2021 2:45,63.953337,-160.876021,M,coho,NA
815,8/3/2020 14:30,63.95282,-160.85172,F,coho,6
815,8/3/2020 15:35,63.953142,-160.882113,F,coho,6
815,8/4/2020 11:43,63.953337,-160.876021,F,coho,6
815,8/7/2020 2:00,63.555623,-161.051248,F,coho,6
835,8/3/2020 14:51,63.95282,-160.85172,M,coho,6
835,8/3/2020 15:02,63.953142,-160.882113,M,coho,6
835,8/6/2020 15:54,63.557764,-161.056892,M,coho,6
870,8/17/2021 10:24,63.94366,-160.84396,F,coho,6
870,8/21/2021 10:05,63.557764,-161.056892,F,coho,6
875,8/6/2020 15:38,64.01718,-160.91241,M,coho,NA
875,8/7/2020 18:23,64.131287,-160.957982,M,coho,NA
875,8/8/2020 19:45,63.95299,-160.888171,M,coho,NA
890,8/17/2021 10:05,63.94366,-160.84396,M,coho,6
890,8/18/2021 16:19,63.692109,-160.888144,M,coho,6
890,8/19/2021 23:14,63.557764,-161.056892,M,coho,6
895,8/7/2020 10:26,64.0169,-160.91451,F,coho,5
895,8/7/2020 19:33,63.95299,-160.888171,F,coho,5
895,8/8/2020 17:37,63.953142,-160.882113,F,coho,5
895,8/9/2020 8:00,63.953841,-160.857668,F,coho,5
895,8/12/2020 16:23,64.130854,-160.98861,F,coho,5
895,8/15/2020 5:43,64.368624,-161.112718,F,coho,5
915,8/7/2020 10:26,64.0169,-160.91451,F,coho,NA
915,8/8/2020 7:07,64.131287,-160.957982,F,coho,NA
930,8/17/2021 11:43,63.94366,-160.84396,M,coho,4
930,8/22/2021 9:18,63.557764,-161.056892,M,coho,4
930,8/28/2021 15:43,64.131052,-160.976405,M,coho,4
930,8/30/2021 3:24,64.545967,-161.384115,M,coho,4
935,8/7/2020 10:28,64.0169,-160.91451,M,coho,6
935,8/7/2020 20:43,63.953841,-160.857668,M,coho,6
935,8/8/2020 13:31,63.555623,-161.051248,M,coho,6
935,8/12/2020 12:00,63.555623,-161.051248,M,coho,6
955,8/7/2020 10:31,64.0169,-160.91451,F,coho,6
955,8/13/2020 13:10,64.039991,-160.900489,F,coho,6
970,8/17/2021 12:03,63.94366,-160.84396,M,coho,6
970,8/19/2021 14:00,63.555623,-161.051248,M,coho,6
995,8/7/2020 11:05,64.0169,-160.91451,M,coho,6
995,8/7/2020 17:06,63.95299,-160.888171,M,coho,6
995,8/7/2020 23:38,63.555623,-161.051248,M,coho,6
1010,8/16/2021 21:49,63.548007,-161.129208,M,coho,S
1010,8/17/2021 12:31,63.94366,-160.84396,M,coho,S
1010,8/17/2021 13:46,63.953841,-160.857668,M,coho,S
1010,8/18/2021 13:09,63.547179,-161.123543,M,coho,S
1010,8/20/2021 7:50,63.548007,-161.129208,M,coho,S
1010,8/21/2021 7:26,63.953337,-160.876021,M,coho,S
1010,8/21/2021 17:59,63.693551,-160.8998,M,coho,S
1010,8/21/2021 23:24,63.547179,-161.123543,M,coho,S
1015,8/7/2020 11:12,64.0169,-160.91451,M,coho,6
1015,8/7/2020 23:44,63.953644,-160.863799,M,coho,6
1015,8/8/2020 18:35,63.555623,-161.051248,M,coho,6
1030,8/17/2021 12:41,63.94366,-160.84396,M,coho,6
1030,8/17/2021 22:00,63.555623,-161.051248,M,coho,6
1035,8/7/2020 11:17,64.0169,-160.91451,M,coho,6
1035,8/12/2020 17:18,64.039991,-160.900489,M,coho,6
1035,8/16/2020 18:28,64.042944,-160.888673,M,coho,6
1035,8/17/2020 10:42,63.95299,-160.888171,M,coho,6
1035,8/17/2020 17:10,63.555623,-161.051248,M,coho,6
1050,8/17/2021 13:01,63.94366,-160.84396,M,coho,NA
1050,8/18/2021 2:27,63.953841,-160.857668,M,coho,NA
1055,8/7/2020 11:38,64.0169,-160.91451,F,coho,6
1055,8/8/2020 0:50,64.131144,-160.970255,F,coho,6
1055,8/8/2020 15:01,64.131239,-160.964123,F,coho,6
1055,8/9/2020 9:18,63.555623,-161.051248,F,coho,6
1070,8/17/2021 13:09,63.94366,-160.84396,M,coho,6
1070,8/22/2021 6:28,63.557764,-161.056892,M,coho,6
1075,8/7/2020 11:52,64.0169,-160.91451,F,coho,6
1075,8/7/2020 21:31,63.953841,-160.857668,F,coho,6
1075,8/8/2020 12:00,63.555623,-161.051248,F,coho,6
1090,8/22/2021 9:37,63.89247,-160.80774,F,coho,6
1090,8/24/2021 1:16,63.557764,-161.056892,F,coho,6
1095,8/7/2020 12:09,64.0169,-160.91451,M,coho,6
1095,8/7/2020 17:57,63.95299,-160.888171,M,coho,6
1095,8/8/2020 9:24,63.557764,-161.056892,M,coho,6
1110,8/22/2021 10:00,63.93864,-160.83904,F,coho,6
1110,8/23/2021 21:51,63.557764,-161.056892,F,coho,6
1110,8/31/2021 12:00,63.555623,-161.051248,F,coho,6
1115,8/7/2020 12:38,64.0169,-160.91451,M,coho,NA
1115,8/8/2020 5:11,64.131144,-160.970255,M,coho,NA
1115,8/9/2020 9:11,64.131052,-160.976405,M,coho,NA
1130,8/22/2021 11:30,63.93864,-160.83904,M,coho,6
1130,8/23/2021 17:01,63.690645,-160.876555,M,coho,6
1130,8/24/2021 11:05,63.547179,-161.123543,M,coho,6
1130,8/24/2021 19:46,63.548007,-161.129208,M,coho,6
1130,9/1/2021 20:00,63.555623,-161.051248,M,coho,6
1135,8/7/2020 12:41,64.0169,-160.91451,M,coho,6
1135,8/8/2020 13:50,63.953142,-160.882113,M,coho,6
1135,8/8/2020 22:07,63.555623,-161.051248,M,coho,6
1155,8/7/2020 12:52,64.0169,-160.91451,M,coho,6
1155,8/8/2020 16:50,64.131287,-160.957982,M,coho,6
1155,8/9/2020 17:36,63.95299,-160.888171,M,coho,6
1155,8/9/2020 23:26,63.557764,-161.056892,M,coho,6
1170,8/22/2021 12:27,63.98006,-160.88265,M,coho,NA
1170,8/23/2021 9:02,63.953841,-160.857668,M,coho,NA
1175,8/7/2020 12:52,64.0169,-160.91451,M,coho,5
1175,8/9/2020 20:53,64.042944,-160.888673,M,coho,5
1175,8/11/2020 6:35,64.042944,-160.888673,M,coho,5
1175,8/12/2020 23:19,64.131239,-160.964123,M,coho,5
1175,8/15/2020 18:25,64.368624,-161.112718,M,coho,5
1195,8/7/2020 12:53,64.0169,-160.91451,M,coho,6
1195,8/12/2020 13:31,64.131287,-160.957982,M,coho,6
1195,8/14/2020 10:34,63.95299,-160.888171,M,coho,6
1195,8/14/2020 16:17,63.557764,-161.056892,M,coho,6
1210,8/22/2021 12:32,63.98006,-160.88265,F,coho,6
1210,8/24/2021 4:14,63.95299,-160.888171,F,coho,6
1210,9/8/2021 12:00,63.555623,-161.051248,F,coho,6
1215,8/7/2020 13:27,64.0169,-160.91451,F,coho,6
1215,8/8/2020 19:49,64.039991,-160.900489,F,coho,6
1230,8/23/2021 12:10,64.03472,-160.92481,M,coho,NA
1230,8/23/2021 19:06,63.953841,-160.857668,M,coho,NA
1230,8/24/2021 8:57,63.953475,-160.869926,M,coho,NA
1235,8/7/2020 14:01,64.0169,-160.91451,M,coho,6
1235,8/8/2020 11:33,63.95299,-160.888171,M,coho,6
1235,8/8/2020 20:33,63.555623,-161.051248,M,coho,6
1250,8/23/2021 12:12,64.03472,-160.92481,F,coho,NA
1250,8/24/2021 8:36,64.131144,-160.970255,F,coho,NA
1255,8/7/2020 14:41,64.0169,-160.91451,F,coho,6
1255,8/8/2020 4:57,64.131144,-160.970255,F,coho,6
1255,8/10/2020 18:07,64.131052,-160.976405,F,coho,6
1255,8/11/2020 21:07,63.555623,-161.051248,F,coho,6
1270,8/23/2021 12:20,64.03472,-160.92481,M,coho,NA
1270,8/23/2021 18:02,63.953337,-160.876021,M,coho,NA
1275,8/7/2020 15:07,64.0169,-160.91451,M,coho,6
1275,8/8/2020 17:16,63.953142,-160.882113,M,coho,6
1275,8/9/2020 18:39,63.690645,-160.876555,M,coho,6
1275,8/10/2020 8:14,63.547179,-161.123543,M,coho,6
1275,8/15/2020 10:51,63.557764,-161.056892,M,coho,6
1275,8/18/2020 12:00,63.555623,-161.051248,M,coho,6
1290,8/23/2021 12:22,64.03472,-160.92481,M,coho,NA
1290,8/24/2021 13:15,64.131052,-160.976405,M,coho,NA
1290,8/26/2021 16:42,64.131239,-160.964123,M,coho,NA
1295,8/7/2020 15:11,64.0169,-160.91451,M,coho,NA
1295,8/12/2020 9:59,64.131287,-160.957982,M,coho,NA
1310,8/23/2021 12:25,64.03472,-160.92481,M,coho,6
1310,8/23/2021 18:13,63.953337,-160.876021,M,coho,6
1310,8/24/2021 10:42,63.557764,-161.056892,M,coho,6
1315,8/7/2020 15:14,64.0169,-160.91451,M,coho,6
1315,8/7/2020 22:44,63.953841,-160.857668,M,coho,6
1315,8/8/2020 16:07,64.131287,-160.957982,M,coho,6
1315,8/9/2020 19:55,64.131144,-160.970255,M,coho,6
1315,8/10/2020 14:39,63.953337,-160.876021,M,coho,6
1315,8/10/2020 22:49,63.555623,-161.051248,M,coho,6
1335,8/7/2020 15:18,64.0169,-160.91451,M,coho,5
1335,8/16/2020 6:51,64.366297,-161.093039,M,coho,5
1350,8/23/2021 12:45,64.03472,-160.92481,M,coho,6
1350,8/23/2021 23:06,63.953841,-160.857668,M,coho,6
1350,8/24/2021 21:28,63.557764,-161.056892,M,coho,6
1370,8/23/2021 12:53,64.03472,-160.92481,M,coho,6
