tag.ID,date.time,lat,long,sex
1055,8/8/2020 0:50,64.131144,-160.970255,F
1055,8/8/2020 15:01,64.131239,-160.964123,F
1055,8/9/2020 9:18,63.555623,-161.051248,F
1070,8/17/2021 13:09,63.94366,-160.84396,M
1070,8/22/2021 6:28,63.557764,-161.056892,M
1075,8/7/2020 11:52,64.0169,-160.91451,F
1075,8/7/2020 21:31,63.953841,-160.857668,F
1075,8/8/2020 12:00,63.555623,-161.051248,F
1090,8/22/2021 9:37,63.89247,-160.80774,F
1090,8/24/2021 1:16,63.557764,-161.056892,F
1095,8/7/2020 12:09,64.0169,-160.91451,M
1095,8/7/2020 17:57,63.95299,-160.888171,M
1095,8/8/2020 9:24,63.557764,-161.056892,M
1110,8/22/2021 10:00,63.93864,-160.83904,F
1110,8/23/2021 21:51,63.557764,-161.056892,F
1110,8/31/2021 12:00,63.555623,-161.051248,F
1115,8/7/2020 12:38,64.0169,-160.91451,M
1115,8/8/2020 5:11,64.131144,-160.970255,M
1115,8/9/2020 9:11,64.131052,-160.976405,M
1130,8/22/2021 11:30,63.93864,-160.83904,M
1130,8/23/2021 17:01,63.690645,-160.876555,M
1130,8/24/2021 11:05,63.547179,-161.123543,M
1130,8/24/2021 19:46,63.548007,-161.129208,M
1130,9/1/2021 20:00,63.555623,-161.051248,M
1135,8/7/2020 12:41,64.0169,-160.91451,M
1135,8/8/2020 13:50,63.953142,-160.882113,M
1135,8/8/2020 22:07,63.555623,-161.051248,M
1155,8/7/2020 12:52,64.0169,-160.91451,M
1155,8/8/2020 16:50,64.131287,-160.957982,M
1155,8/9/2020 17:36,63.95299,-160.888171,M
1155,8/9/2020 23:26,63.557764,-161.056892,M
1170,8/22/2021 12:27,63.98006,-160.88265,M
1170,8/23/2021 9:02,63.953841,-160.857668,M
1175,8/7/2020 12:52,64.0169,-160.91451,M
1175,8/9/2020 20:53,64.042944,-160.888673,M
1175,8/11/2020 6:35,64.042944,-160.888673,M
1175,8/12/2020 23:19,64.131239,-160.964123,M
1175,8/15/2020 18:25,64.368624,-161.112718,M
1195,8/7/2020 12:53,64.0169,-160.91451,M
1195,8/12/2020 13:31,64.131287,-160.957982,M
1195,8/14/2020 10:34,63.95299,-160.888171,M
1195,8/14/2020 16:17,63.557764,-161.056892,M
1210,8/22/2021 12:32,63.98006,-160.88265,F
1210,8/24/2021 4:14,63.95299,-160.888171,F
1210,9/8/2021 12:00,63.555623,-161.051248,F
1215,8/7/2020 13:27,64.0169,-160.91451,F
1215,8/8/2020 19:49,64.039991,-160.900489,F
1230,8/23/2021 12:10,64.03472,-160.92481,M
1230,8/23/2021 19:06,63.953841,-160.857668,M
1230,8/24/2021 8:57,63.953475,-160.869926,M
1235,8/7/2020 14:01,64.0169,-160.91451,M
1235,8/8/2020 11:33,63.95299,-160.888171,M
1235,8/8/2020 20:33,63.555623,-161.051248,M
1250,8/23/2021 12:12,64.03472,-160.92481,F
1250,8/24/2021 8:36,64.131144,-160.970255,F
1255,8/7/2020 14:41,64.0169,-160.91451,F
1255,8/8/2020 4:57,64.131144,-160.970255,F
1255,8/10/2020 18:07,64.131052,-160.976405,F
1255,8/11/2020 21:07,63.555623,-161.051248,F
1270,8/23/2021 12:20,64.03472,-160.92481,M
1270,8/23/2021 18:02,63.953337,-160.876021,M
1275,8/7/2020 15:07,64.0169,-160.91451,M
1275,8/8/2020 17:16,63.953142,-160.882113,M
1275,8/9/2020 18:39,63.690645,-160.876555,M
1275,8/10/2020 8:14,63.547179,-161.123543,M
1275,8/15/2020 10:51,63.557764,-161.056892,M
1275,8/18/2020 12:00,63.555623,-161.051248,M
1290,8/23/2021 12:22,64.03472,-160.92481,M
1290,8/24/2021 13:15,64.131052,-160.976405,M
1290,8/26/2021 16:42,64.131239,-160.964123,M
1295,8/7/2020 15:11,64.0169,-160.91451,M
1295,8/12/2020 9:59,64.131287,-160.957982,M
1310,8/23/2021 12:25,64.03472,-160.92481,M
1310,8/23/2021 18:13,63.953337,-160.876021,M
1310,8/24/2021 10:42,63.557764,-161.056892,M
1315,8/7/2020 15:14,64.0169,-160.91451,M
1315,8/7/2020 22:44,63.953841,-160.857668,M
1315,8/8/2020 16:07,64.131287,-160.957982,M
1315,8/9/2020 19:55,64.131144,-160.970255,M
1315,8/10/2020 14:39,63.953337,-160.876021,M
1315,8/10/2020 22:49,63.555623,-161.051248,M
1335,8/7/2020 15:18,64.0169,-160.91451,M
1335,8/16/2020 6:51,64.366297,-161.093039,M
1350,8/23/2021 12:45,64.03472,-160.92481,M
1350,8/23/2021 23:06,63.953841,-160.857668,M
1350,8/24/2021 21:28,63.557764,-161.056892,M
1370,8/23/2021 12:53,64.03472,-160.92481,M
1370,8/23/2021 17:23,63.953841,-160.857668,M
1370,8/24/2021 12:16,63.557764,-161.056892,M
1375,8/7/2020 15:29,64.0169,-160.91451,M
1375,8/8/2020 1:48,64.131239,-160.964123,M
1375,8/8/2020 16:35,64.371604,-161.541044,M
1375,8/9/2020 1:31,64.535826,-161.37641,M
1375,8/10/2020 10:11,64.538388,-161.37827,M
1375,8/10/2020 17:42,64.371604,-161.541044,M
1375,8/15/2020 9:27,64.376093,-161.533817,M
1375,8/20/2020 11:41,64.927713,-160.982101,M
1375,8/20/2020 11:41,64.927713,-160.982101,M
1390,8/23/2021 13:18,64.03472,-160.92481,F
1390,8/23/2021 21:35,63.953841,-160.857668,F
1390,8/24/2021 12:08,63.557764,-161.056892,F
1395,8/7/2020 15:30,64.0169,-160.91451,M
1395,8/8/2020 18:28,64.131287,-160.957982,M
1410,8/23/2021 13:20,64.03472,-160.92481,F
1410,8/24/2021 11:35,64.131239,-160.964123,F
1410,8/25/2021 16:29,64.131144,-160.970255,F
1410,8/25/2021 23:18,63.953475,-160.869926,F
1430,8/23/2021 13:26,64.03472,-160.92481,M
1430,8/23/2021 17:41,63.953841,-160.857668,M
1430,8/24/2021 13:30,63.953475,-160.869926,M
1430,8/24/2021 21:38,64.131144,-160.970255,M
1430,8/25/2021 19:42,64.367045,-161.548138,M
1435,8/7/2020 16:08,64.0169,-160.91451,M
1435,8/7/2020 19:48,63.95299,-160.888171,M
1435,8/8/2020 15:08,63.692845,-160.893966,M
1435,8/9/2020 11:23,63.547179,-161.123543,M
1450,8/23/2021 13:37,64.03472,-160.92481,F
1450,8/23/2021 23:55,63.953841,-160.857668,F
1450,8/24/2021 21:03,63.557764,-161.056892,F
1450,8/30/2021 12:00,63.555623,-161.051248,F
1455,8/10/2020 11:51,64.01728,-160.91138,F
1455,8/13/2020 0:11,63.953644,-160.863799,F
1455,8/13/2020 13:11,63.557764,-161.056892,F
1470,8/23/2021 13:53,64.03472,-160.92481,F
1470,8/24/2021 16:33,63.953475,-160.869926,F
1470,8/25/2021 11:02,63.557764,-161.056892,F
1475,8/10/2020 11:53,64.01728,-160.91138,M
1475,8/12/2020 8:42,63.953142,-160.882113,M
1495,8/10/2020 12:10,64.01728,-160.91138,F
1495,8/10/2020 21:32,63.95299,-160.888171,F
1495,8/12/2020 22:47,63.555623,-161.051248,F
1510,8/23/2021 14:07,64.03472,-160.92481,F
1510,8/23/2021 23:58,63.953841,-160.857668,F
1510,8/24/2021 12:55,63.557764,-161.056892,F
1515,8/10/2020 13:08,64.01728,-160.91138,F
1515,8/11/2020 1:21,63.953337,-160.876021,F
1515,8/11/2020 11:06,63.555623,-161.051248,F
1530,8/23/2021 14:08,64.03472,-160.92481,F
1530,8/23/2021 23:23,63.953841,-160.857668,F
1535,8/10/2020 13:22,64.02448,-160.91692,F
1535,8/11/2020 7:01,63.953644,-160.863799,F
1535,8/11/2020 15:06,63.555623,-161.051248,F
1555,8/10/2020 13:41,64.02448,-160.91692,M
1555,8/12/2020 22:37,64.131287,-160.957982,M
1570,8/23/2021 14:30,64.03472,-160.92481,F
1570,8/24/2021 1:30,63.953841,-160.857668,F
1570,8/24/2021 20:58,63.692109,-160.888144,F
1570,8/25/2021 17:01,63.693551,-160.8998,F
1575,8/10/2020 13:43,64.02448,-160.91692,M
1575,8/16/2020 18:21,64.042944,-160.888673,M
1610,8/23/2021 15:18,64.03437,-160.92361,F
1610,8/24/2021 19:36,63.953475,-160.869926,F
1615,8/10/2020 14:07,64.02448,-160.91692,M
1615,8/11/2020 11:59,63.95299,-160.888171,M
1615,8/11/2020 19:56,63.557764,-161.056892,M
1630,8/23/2021 15:18,64.03437,-160.92361,M
1630,8/24/2021 1:43,63.953841,-160.857668,M
1630,8/24/2021 22:49,63.557764,-161.056892,M
1655,8/10/2020 14:10,64.02448,-160.91692,M
1655,8/13/2020 9:57,64.131052,-160.976405,M
1655,8/14/2020 3:45,64.376093,-161.533817,M
