"","tag.ID","ymd.hms","array","lat","long","sex","species","stock","unix"
"139",895,2020-08-12 16:23:00,"4",64.130854,-160.98861,"F","coho","Shaktoolik",1597249380
"135",895,2020-08-15 05:43:00,"S",64.368624,-161.112718,"F","coho","Shaktoolik",1597470180
"8681",930,2021-08-17 11:43:00,"C",63.94366,-160.84396,"M","coho","Transitory",1629200580
"141",930,2021-08-22 09:18:00,"U",63.557764,-161.056892,"M","coho","Transitory",1629623880
"142",930,2021-08-28 15:43:00,"4",64.131052,-160.976405,"M","coho","Transitory",1630165380
"143",930,2021-08-30 03:24:00,"2",64.545967,-161.384115,"M","coho","Transitory",1630293840
"7971",935,2020-08-07 10:28:00,"C",64.0169,-160.91451,"M","coho","Unalakleet",1596796080
"145",935,2020-08-07 20:43:00,"5",63.953841,-160.857668,"M","coho","Unalakleet",1596832980
"144",935,2020-08-08 13:31:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596893460
"2010",955,2020-08-07 10:31:00,"C",64.0169,-160.91451,"F","coho","Unalakleet",1596796260
"146",955,2020-08-13 13:10:00,"E",64.039991,-160.900489,"F","coho","Unalakleet",1597324200
"5081",970,2021-08-17 12:03:00,"C",63.94366,-160.84396,"M","coho","Unalakleet",1629201780
"1756",970,2021-08-19 14:00:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1629381600
"6091",995,2020-08-07 11:05:00,"C",64.0169,-160.91451,"M","coho","Unalakleet",1596798300
"148",995,2020-08-07 17:06:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1596819960
"147",995,2020-08-07 23:38:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596843480
"149",1010,2021-08-16 21:49:00,"7",63.548007,-161.129208,"M","coho","Transitory",1629150540
"3291",1010,2021-08-17 12:31:00,"C",63.94366,-160.84396,"M","coho","Transitory",1629203460
"154",1010,2021-08-17 13:46:00,"5",63.953841,-160.857668,"M","coho","Transitory",1629207960
"150",1010,2021-08-18 13:09:00,"7",63.547179,-161.123543,"M","coho","Transitory",1629292140
"151",1010,2021-08-20 07:50:00,"7",63.548007,-161.129208,"M","coho","Transitory",1629445800
"155",1010,2021-08-21 07:26:00,"5",63.953337,-160.876021,"M","coho","Transitory",1629530760
"153",1010,2021-08-21 17:59:00,"6",63.693551,-160.8998,"M","coho","Transitory",1629568740
"152",1010,2021-08-21 23:24:00,"7",63.547179,-161.123543,"M","coho","Transitory",1629588240
"7611",1015,2020-08-07 11:12:00,"C",64.0169,-160.91451,"M","coho","Unalakleet",1596798720
"157",1015,2020-08-07 23:44:00,"5",63.953644,-160.863799,"M","coho","Unalakleet",1596843840
"156",1015,2020-08-08 18:35:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596911700
"15610",1030,2021-08-17 12:41:00,"C",63.94366,-160.84396,"M","coho","Unalakleet",1629204060
"1757",1030,2021-08-17 22:00:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1629237600
"4681",1055,2020-08-07 11:38:00,"C",64.0169,-160.91451,"F","coho","Unalakleet",1596800280
"164",1055,2020-08-08 00:50:00,"4",64.131144,-160.970255,"F","coho","Unalakleet",1596847800
"165",1055,2020-08-08 15:01:00,"4",64.131239,-160.964123,"F","coho","Unalakleet",1596898860
"163",1055,2020-08-09 09:18:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1596964680
"2731",1070,2021-08-17 13:09:00,"C",63.94366,-160.84396,"M","coho","Unalakleet",1629205740
"166",1070,2021-08-22 06:28:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1629613680
"8131",1075,2020-08-07 11:52:00,"C",64.0169,-160.91451,"F","coho","Unalakleet",1596801120
"167",1075,2020-08-07 21:31:00,"5",63.953841,-160.857668,"F","coho","Unalakleet",1596835860
"1758",1075,2020-08-08 12:00:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1596888000
"6861",1090,2021-08-22 09:37:00,"C",63.89247,-160.80774,"F","coho","Unalakleet",1629625020
"168",1090,2021-08-24 01:16:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1629767760
"6571",1095,2020-08-07 12:09:00,"C",64.0169,-160.91451,"M","coho","Unalakleet",1596802140
"170",1095,2020-08-07 17:57:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1596823020
"169",1095,2020-08-08 09:24:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1596878640
"7191",1110,2021-08-22 10:00:00,"C",63.93864,-160.83904,"F","coho","Unalakleet",1629626400
"171",1110,2021-08-23 21:51:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1629755460
"8891",1130,2021-08-22 11:30:00,"C",63.93864,-160.83904,"M","coho","Unalakleet",1629631800
"176",1130,2021-08-23 17:01:00,"6",63.690645,-160.876555,"M","coho","Unalakleet",1629738060
"174",1130,2021-08-24 11:05:00,"7",63.547179,-161.123543,"M","coho","Unalakleet",1629803100
"175",1130,2021-08-24 19:46:00,"7",63.548007,-161.129208,"M","coho","Unalakleet",1629834360
"1759",1130,2021-09-01 20:00:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1630526400
"7411",1135,2020-08-07 12:41:00,"C",64.0169,-160.91451,"M","coho","Unalakleet",1596804060
"178",1135,2020-08-08 13:50:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1596894600
"177",1135,2020-08-08 22:07:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596924420
"5191",1155,2020-08-07 12:52:00,"C",64.0169,-160.91451,"M","coho","Unalakleet",1596804720
"181",1155,2020-08-08 16:50:00,"4",64.131287,-160.957982,"M","coho","Unalakleet",1596905400
"180",1155,2020-08-09 17:36:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1596994560
"179",1155,2020-08-09 23:26:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1597015560
"2291",1195,2020-08-07 12:53:00,"C",64.0169,-160.91451,"M","coho","Unalakleet",1596804780
"189",1195,2020-08-12 13:31:00,"4",64.131287,-160.957982,"M","coho","Unalakleet",1597239060
"188",1195,2020-08-14 10:34:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1597401240
"187",1195,2020-08-14 16:17:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1597421820
"8421",1210,2021-08-22 12:32:00,"C",63.98006,-160.88265,"F","coho","Unalakleet",1629635520
"190",1210,2021-08-24 04:14:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1629778440
"1760",1210,2021-09-08 12:00:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1631102400
"2410",1215,2020-08-07 13:27:00,"C",64.0169,-160.91451,"F","coho","Unalakleet",1596806820
"191",1215,2020-08-08 19:49:00,"E",64.039991,-160.900489,"F","coho","Unalakleet",1596916140
"7671",1235,2020-08-07 14:01:00,"C",64.0169,-160.91451,"M","coho","Unalakleet",1596808860
"195",1235,2020-08-08 11:33:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1596886380
"194",1235,2020-08-08 20:33:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596918780
"3391",1255,2020-08-07 14:41:00,"C",64.0169,-160.91451,"F","coho","Unalakleet",1596811260
"198",1255,2020-08-08 04:57:00,"4",64.131144,-160.970255,"F","coho","Unalakleet",1596862620
"199",1255,2020-08-10 18:07:00,"4",64.131052,-160.976405,"F","coho","Unalakleet",1597082820
"197",1255,2020-08-11 21:07:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1597180020
"1991",1275,2020-08-07 15:07:00,"C",64.0169,-160.91451,"M","coho","Unalakleet",1596812820
"204",1275,2020-08-08 17:16:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1596906960
"203",1275,2020-08-09 18:39:00,"6",63.690645,-160.876555,"M","coho","Unalakleet",1596998340
"202",1275,2020-08-10 08:14:00,"7",63.547179,-161.123543,"M","coho","Unalakleet",1597047240
"201",1275,2020-08-15 10:51:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1597488660
"6501",1310,2021-08-23 12:25:00,"C",64.03472,-160.92481,"M","coho","Unalakleet",1629721500
"209",1310,2021-08-23 18:13:00,"5",63.953337,-160.876021,"M","coho","Unalakleet",1629742380
"208",1310,2021-08-24 10:42:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1629801720
"4251",1315,2020-08-07 15:14:00,"C",64.0169,-160.91451,"M","coho","Unalakleet",1596813240
"211",1315,2020-08-07 22:44:00,"5",63.953841,-160.857668,"M","coho","Unalakleet",1596840240
"213",1315,2020-08-08 16:07:00,"4",64.131287,-160.957982,"M","coho","Unalakleet",1596902820
"214",1315,2020-08-09 19:55:00,"4",64.131144,-160.970255,"M","coho","Unalakleet",1597002900
"212",1315,2020-08-10 14:39:00,"5",63.953337,-160.876021,"M","coho","Unalakleet",1597070340
"210",1315,2020-08-10 22:49:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1597099740
"2011",1335,2020-08-07 15:18:00,"C",64.0169,-160.91451,"M","coho","Shaktoolik",1596813480
"215",1335,2020-08-16 06:51:00,"S",64.366297,-161.093039,"M","coho","Shaktoolik",1597560660
"7481",1350,2021-08-23 12:45:00,"C",64.03472,-160.92481,"M","coho","Unalakleet",1629722700
"217",1350,2021-08-23 23:06:00,"5",63.953841,-160.857668,"M","coho","Unalakleet",1629759960
"216",1350,2021-08-24 21:28:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1629840480
"6411",1370,2021-08-23 12:53:00,"C",64.03472,-160.92481,"M","coho","Unalakleet",1629723180
"219",1370,2021-08-23 17:23:00,"5",63.953841,-160.857668,"M","coho","Unalakleet",1629739380
"218",1370,2021-08-24 12:16:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1629807360
"6441",1390,2021-08-23 13:18:00,"C",64.03472,-160.92481,"F","coho","Unalakleet",1629724680
"229",1390,2021-08-23 21:35:00,"5",63.953841,-160.857668,"F","coho","Unalakleet",1629754500
"228",1390,2021-08-24 12:08:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1629806880
"5511",1430,2021-08-23 13:26:00,"C",64.03472,-160.92481,"M","coho","Transitory",1629725160
"234",1430,2021-08-23 17:41:00,"5",63.953841,-160.857668,"M","coho","Transitory",1629740460
"235",1430,2021-08-24 13:30:00,"5",63.953475,-160.869926,"M","coho","Transitory",1629811800
"236",1430,2021-08-24 21:38:00,"4",64.131144,-160.970255,"M","coho","Transitory",1629841080
"237",1430,2021-08-25 19:42:00,"3",64.367045,-161.548138,"M","coho","Transitory",1629920520
"2811",1435,2020-08-07 16:08:00,"C",64.0169,-160.91451,"M","coho","Transitory",1596816480
"240",1435,2020-08-07 19:48:00,"5",63.95299,-160.888171,"M","coho","Transitory",1596829680
"239",1435,2020-08-08 15:08:00,"6",63.692845,-160.893966,"M","coho","Transitory",1596899280
"238",1435,2020-08-09 11:23:00,"7",63.547179,-161.123543,"M","coho","Transitory",1596972180
"7601",1450,2021-08-23 13:37:00,"C",64.03472,-160.92481,"F","coho","Unalakleet",1629725820
"242",1450,2021-08-23 23:55:00,"5",63.953841,-160.857668,"F","coho","Unalakleet",1629762900
"241",1450,2021-08-24 21:03:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1629838980
"3591",1455,2020-08-10 11:51:00,"C",64.01728,-160.91138,"F","coho","Unalakleet",1597060260
"244",1455,2020-08-13 00:11:00,"5",63.953644,-160.863799,"F","coho","Unalakleet",1597277460
"243",1455,2020-08-13 13:11:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1597324260
"4651",1470,2021-08-23 13:53:00,"C",64.03472,-160.92481,"F","coho","Unalakleet",1629726780
"246",1470,2021-08-24 16:33:00,"5",63.953475,-160.869926,"F","coho","Unalakleet",1629822780
"245",1470,2021-08-25 11:02:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1629889320
"5171",1495,2020-08-10 12:10:00,"C",64.01728,-160.91138,"F","coho","Unalakleet",1597061400
"249",1495,2020-08-10 21:32:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1597095120
"248",1495,2020-08-12 22:47:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1597272420
"6451",1510,2021-08-23 14:07:00,"C",64.03472,-160.92481,"F","coho","Unalakleet",1629727620
"251",1510,2021-08-23 23:58:00,"5",63.953841,-160.857668,"F","coho","Unalakleet",1629763080
"250",1510,2021-08-24 12:55:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1629809700
"6531",1515,2020-08-10 13:08:00,"C",64.01728,-160.91138,"F","coho","Unalakleet",1597064880
"253",1515,2020-08-11 01:21:00,"5",63.953337,-160.876021,"F","coho","Unalakleet",1597108860
"252",1515,2020-08-11 11:06:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1597143960
"6161",1535,2020-08-10 13:22:00,"C",64.02448,-160.91692,"F","coho","Unalakleet",1597065720
"256",1535,2020-08-11 07:01:00,"5",63.953644,-160.863799,"F","coho","Unalakleet",1597129260
"255",1535,2020-08-11 15:06:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1597158360
"2810",1575,2020-08-10 13:43:00,"C",64.02448,-160.91692,"M","coho","Unalakleet",1597066980
"261",1575,2020-08-16 18:21:00,"E",64.042944,-160.888673,"M","coho","Unalakleet",1597602060
"7791",1615,2020-08-10 14:07:00,"C",64.02448,-160.91692,"M","coho","Unalakleet",1597068420
"264",1615,2020-08-11 11:59:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1597147140
"263",1615,2020-08-11 19:56:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1597175760
"7581",1630,2021-08-23 15:18:00,"C",64.03437,-160.92361,"M","coho","Unalakleet",1629731880
"266",1630,2021-08-24 01:43:00,"5",63.953841,-160.857668,"M","coho","Unalakleet",1629769380
"265",1630,2021-08-24 22:49:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1629845340
"2681",1655,2020-08-10 14:10:00,"C",64.02448,-160.91692,"M","coho","Transitory",1597068600
"267",1655,2020-08-13 09:57:00,"4",64.131052,-160.976405,"M","coho","Transitory",1597312620
"268",1655,2020-08-14 03:45:00,"3",64.376093,-161.533817,"M","coho","Transitory",1597376700
"3271",1675,2020-08-11 13:28:00,"C",64.01708,-160.91208,"M","coho","Shaktoolik",1597152480
"270",1675,2020-08-12 05:12:00,"4",64.131239,-160.964123,"M","coho","Shaktoolik",1597209120
"269",1675,2020-08-15 06:45:00,"S",64.368624,-161.112718,"M","coho","Shaktoolik",1597473900
