"","","c.hist1","c.hist"
"605","654T","B4T","BAA"
"606","5445U","B44U","BA4B"
"607",NA,"B","B"
"608","U","BU","BB"
"609","54S","B4S","BAA"
"610","5U","BU","BB"
"611","5U","BUB","BBB"
"612","5445U","B44U","BA4B"
"613","5U","BU","BB"
"614","5555","B","B"
"615","5U","BU","BB"
"616","55","B","B"
"617","54S","B4S","BAA"
"618","5U","BU","BB"
"619","U","BU","BB"
"620","4S","B4S","BAA"
"621","5U","BU","BB"
"622","5445","B44A","BA4B"
"623","U","BU","BB"
"624","32","B32","B32"
"625",NA,"B","B"
"626","S","BS","BA"
"627","UU5","BUU","BBB"
"628","4S","B4S","BAA"
"629","5U","BU","BB"
"630","54","B4","BA"
"631","5U","BU","BB"
"632","4T","B4T","BAA"
"633","5U","BU","BB"
"634",NA,"B","B"
"635","45","B4A","BAB"
"636","432","B432","BA32"
"637","45U","B4U","BAB"
"638","4S","B4S","BAA"
"639","42","B42","BA2"
"640","4","B4","BA"
"641","455U","B4U","BAB"
"642","445U","B44U","BA4B"
"643","45U","B4U","BAB"
"644","5U","BU","BB"
"645","5U","BU","BB"
"646","U","BU","BB"
"647","5U","BU","BB"
"648","5U","BU","BB"
"649","S","BS","BA"
"650","5U","BU","BB"
"651","5U","BU","BB"
"652","5UU544","BUU44","BBB44"
"653","44U","B44U","BA4B"
"654","554S","B4S","BAA"
"655","5U","BU","BB"
"656","U","BU","BB"
"657","5445U","B44U","BA4B"
"658","5U","BU","BB"
"659","5U","BU","BB"
"660","55U","BU","BB"
"661","55","B","B"
"662","55","B","B"
"663","5U","BU","BB"
"664","55U","BU","BB"
"665","55U","BU","BB"
"666","5U","BU","BB"
"667","5U","BU","BB"
"668","54S","B4S","BAA"
"669",NA,"B","B"
"670","44","B44","BA4"
"671","44","B44","BA4"
"672","4S","B4S","BAA"
"673","555","B","B"
"674","55U","BU","BB"
"675",NA,"B","B"
"676","5","B","B"
"677","U","BU","BB"
"678","U","BU","BB"
"679","U","BU","BB"
"680","U","BU","BB"
"681","543Y","B43Y","BA3Y"
"682","55","B","B"
"683",NA,"B","B"
"684",NA,"B","B"
"685",NA,"B","B"
"686",NA,"B","B"
"687",NA,"B","B"
"688",NA,"B","B"
"689",NA,"B","B"
"690","5U","BU","BB"
"691",NA,"B","B"
"692","U","BU","BB"
"693","U","BU","BB"
"694","S","BS","BA"
"695","55555555","B","B"
"696","5","B","B"
"697","U","BU","BB"
"698","U","BU","BB"
"699","5","B","B"
"700","65","B","B"
"701","U55","BU","BB"
"702","5UUG7","BUUG7","BBBB7"
"703","67766","B77","BY7"
"704","67","B7","BY"
"705","5","B","B"
"706","U5","BU","BB"
"707",NA,"B","B"
"708","45654","B44","BA4"
"709","12","B12","B12"
"710",NA,"B","B"
"711",NA,"B","B"
"712",NA,"B","B"
"713",NA,"B","B"
"714","6","B","B"
"715","67","B7","BY"
"716",NA,"B","B"
"717","567654","B74","BY4"
"718","6","B","B"
"719","77","B77","BY7"
"720","7","A7","A7"
"721","32123S","A32123S","AY2123A"
"722","5U","AU","AB"
"723",NA,"A","A"
"724","45U","A4U","ABB"
"725","3","A3","AY"
"726","B","AB","AB"
"727","S","AS","AA"
"728","3223","A3223","AY223"
"729","S","AS","AA"
"730",NA,"A","A"
"731","4554S","A44S","AB4A"
"732","37","A37","AY7"
"733","32Y","A32Y","AY2Y"
"734","45U","A4U","ABB"
"735","YYYY1YYB","AYYYY1YYB","AYYYY1YYB"
"736",NA,"A","A"
"737","455U","A4U","ABB"
"738","S","AS","AA"
"739","45U","A4U","ABB"
"740","S","AS","AA"
"741","45U","A4U","ABB"
"742",NA,"A","A"
"743","45U","A4U","ABB"
"744","45U","A4U","ABB"
"745","4","A4","AB"
"746",NA,"A","A"
"747","3I","A3I","AYY"
"748","S","AS","AA"
"749","5U","AU","AB"
"750","32Y","A32Y","AY2Y"
"751","45U","A4U","ABB"
"752","3","A3","AY"
"753","3T","A3T","AYA"
"754","321B","A321B","AY21B"
"755","45U","A4U","ABB"
"756","4565","A4","AB"
"757",NA,"A","A"
"758","4445U","A444U","AB44B"
"759",NA,"A","A"
"760","45U","A4U","ABB"
"761","45U","A4U","ABB"
"762","45U","A4U","ABB"
"763","44S","A44S","AB4A"
"764","S","AS","AA"
"765","45U","A4U","ABB"
"766","S","AS","AA"
"767","45U","A4U","ABB"
"768","45675Y","A47Y","AB7Y"
"769","S","AS","AA"
"770","S","AS","AA"
"771","S","AS","AA"
"772","S","AS","AA"
"773","S","AS","AA"
"774",NA,"A","A"
"775","S","AS","AA"
"776","SSSSSTTTS","ASSSSSTTTS","AAAAAAAAAA"
"777","S","AS","AA"
"778","4","A4","AB"
"779","4","A4","AB"
"780","45U","A4U","ABB"
"781","45UUUU5","A4UUUU","ABBBBB"
"782","S","AS","AA"
"783","45U","A4U","ABB"
"784","S","AS","AA"
"785","S","AS","AA"
"786","45U","A4U","ABB"
"787","45U","A4U","ABB"
"788","45U","A4U","ABB"
"789","45U","A4U","ABB"
"790",NA,"A","A"
"791","4","A4","AB"
"792","S","AS","AA"
"793","215321","A21321","A21321"
"794","4","A4","AB"
"795","45U","A4U","ABB"
"796","S","AS","AA"
"797","4","A4","AB"
"798","T","AT","AA"
"799","456G","A4G","ABB"
"800",NA,"A","A"
"801","S","AS","AA"
"802","45UUUU67","A4UUUU7","ABBBBB7"
"803","S","AS","AA"
"804","45677667","A4777","AB777"
"805","S","AS","AA"
"806","S","AS","AA"
"807","45U","A4U","ABB"
"808","45U","A4U","ABB"
"809","SSS5","ASSS","AAAA"
"810",NA,"A","A"
"811","45U","A4U","ABB"
"812","3Y","A3Y","AYY"
"813","3S","A3S","AYA"
"814","S","AS","AA"
"815","44S","A44S","AB4A"
"816","45U","A4U","ABB"
"817","S","AS","AA"
"818","32Y","A32Y","AY2Y"
"819","S","AS","AA"
"820","45U","A4U","ABB"
"821","45","A4A","ABB"
"822","45U","A4U","ABB"
"823","45U","A4U","ABB"
"824",NA,"A","A"
"825","S","AS","AA"
"826",NA,"A","A"
"827","32","A32","AY2"
"828","S","AS","AA"
"829","45U","A4U","ABB"
"830",NA,"A","A"
"831","42","A42","AB2"
"832","2212332","A2212332","A2212332"
"833","45U","A4U","ABB"
"834",NA,"A","A"
"835","2","A2","A2"
"836",NA,"A","A"
"837","S","AS","AA"
"838","4S","A4S","ABA"
"839","S","AS","AA"
"840","45U","A4U","ABB"
"841",NA,"A","A"
"842","45544554S","A4444S","AB444A"
"843","SSST","ASSST","AAAAA"
"844","S","AS","AA"
"845","33S","A33S","AY3A"
"846","4","A4","AB"
"847","4","A4","AB"
"848","45U","A4U","ABB"
"849","45U","A4U","ABB"
"850","S","AS","AA"
"851","45","A4","AB"
"852","32","A32","AY2"
"853","4S","A4S","ABA"
"854","45U","A4U","ABB"
"855","S","AS","AA"
"856","45U","A4U","ABB"
"857","45U","A4U","ABB"
"858","SS32","ASS32","AAA32"
"859",NA,"A","A"
"860","4S","A4S","ABA"
"861","S","AS","AA"
"862",NA,"A","A"
"863","45","A4A","ABB"
"864",NA,"A","A"
"865","445U","A44UB","AB4BB"
"866",NA,"A","A"
"867","S","AS","AA"
"868","S","AS","AA"
"869","S","AS","AA"
"870","345U","A34U","AY4B"
"871","S","AS","AA"
"872","4","A4","AB"
"873","45U","A4U","ABB"
"874","455U","A4U","ABB"
"875",NA,"A","A"
"876",NA,"A","A"
"877",NA,"A","A"
"878","4","A4","AB"
"879","4","A4","AB"
"880","4U","A4U","ABB"
"881",NA,"A","A"
"882",NA,"A","A"
"883","U","BU","BB"
"884","U","BU","BB"
"885","55U","BU","BB"
"886",NA,"A","A"
"887","5U","BU","BB"
"888","445","B44","BA4"
"889",NA,"B","B"
"890",NA,"B","B"
"891","57","B7","BY"
"892","5","B","B"
"893","5U","BU","BB"
"894","55U","BU","BB"
"895","5U","BU","BB"
"896","S","AS","AA"
"897",NA,"B","B"
