201,554S,B554SA,BAAA,5,BAAA
123,54S,B54S,BAA,NA,BAA
243,4S,B4S,BAA,NA,BAA
303,5554S,B5554S,BAA,NA,BAA
377,4S,B4S,BAA,NA,BAA
600,7654S,B7654S,BY4A,NA,BAA
605,654T,B654T,BAA,NA,BAA
609,54S,B54S,BAA,NA,BAA
617,54S,B54S,BAA,NA,BAA
620,4S,B4S,BAA,NA,BAA
628,4S,B4S,BAA,NA,BAA
632,4T,B4T,BAA,NA,BAA
638,4S,B4S,BAA,NA,BAA
654,554S,B554S,BAA,NA,BAA
668,54S,B54S,BAA,NA,BAA
672,4S,B4S,BAA,NA,BAA
10,54,B54,BA,NA,BA
136,54,B54,BA,NA,BA
199,554,B554,BA,NA,BA
279,4,B4,BA,NA,BA
304,4,B4,BA,NA,BA
323,4,B4,BA,NA,BA
364,4,B4,BA,NA,BA
367,4,B4,BA,NA,BA
387,54,B54,BA,NA,BA
414,4,B4,BA,NA,BA
416,54,B54,BA,NA,BA
458,4,B4,BA,NA,BA
485,4,B4,BA,NA,BA
492,4,B4,BA,NA,BA
630,54,B54,BA,NA,BA
640,4,B4,BA,NA,BA
325,S,BS,BA,NA,B0AA
626,S,BS,BA,NA,B0AA
649,S,BS,BA,NA,B0AA
694,S,BS,BA,NA,B0AA
9,55,B55,B,NA,B
15,55,B55,B,NA,B
18,5,B5,B,NA,B
19,55,B55,B,NA,B
22,5,B5,B,NA,B
23,5,B5,B,NA,B
25,55,B55,B,NA,B
29,5,B5,B,NA,B
55,5,B5B,BB,6b,B
56,5,B5,B,NA,B
57,5,B5,B,NA,B
58,5,B5,B,NA,B
59,555,B555,B,NA,B
61,55,B55,B,NA,B
64,555555,B555555,B,NA,B
65,55,B55,B,NA,B
66,5,B5,B,NA,B
100,5,B5,B,NA,B
107,5,B5,B,NA,B
108,5,B5,B,NA,B
109,5,B5,B,NA,B
111,5,B5,B,NA,B
113,555,B555,B,NA,B
114,55,B55,B,NA,B
116,55555,B55555,B,NA,B
124,55,B55B,BB,6b,B
132,5,B5,B,NA,B
134,556,B556,B,NA,B
135,5,B5,B,NA,B
140,5,B5,B,NA,B
172,5,B5,B,NA,B
181,55555,B55555,B,NA,B
183,55,B55B,BB,6b,B
190,5,B5,B,NA,B
191,55,B55,B,NA,B
200,5,B5,B,NA,B
275,5,B5,B,NA,B
281,NA,B,B,NA,B
283,NA,B,B,NA,B
307,NA,B,B,NA,B
326,NA,B,B,5,B
329,NA,B,B,5,B
346,NA,B,B,NA,B
355,NA,B,B,NA,B
356,NA,B,B,NA,B
357,NA,B,B,NA,B
362,NA,B,B,NA,B
363,NA,B,B,NA,B
368,NA,B,B,5,B
370,NA,B,B,NA,B
371,NA,B,B,NA,B
372,NA,B,B,NA,B
373,5,B5,B,NA,B
391,NA,B,B,NA,B
399,NA,B,B,6a,B
400,NA,B,B,6b,B
404,55,B55,B,NA,B
405,NA,B,B,NA,B
407,NA,B,B,NA,B
408,5,B5B,BB,6b,B
410,NA,B,B,NA,B
412,NA,B,B,NA,B
413,NA,B,B,NA,B
422,5,B5,B,NA,B
