"id","receiver line","sex","arrive","depart"
50,"THB","F",2011-06-05 01:19:18,2011-06-07 23:26:16
50,"PRS","F",2011-06-30 22:37:05,2011-08-11 13:43:45
50,"FMP","F",2011-08-17 18:52:00,2011-08-17 21:06:16
50,"BBI","F",2011-11-26 18:25:49,2012-02-23 17:34:01
50,"FMP","F",2012-03-09 03:04:48,2012-03-09 07:36:07
50,"PRS","F",2012-03-14 03:18:41,2012-03-17 15:59:27
50,"THB","F",2012-03-26 13:03:20,2012-04-09 17:41:29
52,"TTB","M",2011-05-04 04:31:28,2011-05-04 06:07:51
52,"SGR","M",2011-05-04 15:16:49,2011-05-04 16:09:22
54,"TTB","M",2011-04-27 06:39:31,2011-04-27 07:04:42
54,"SGR","M",2011-05-01 13:16:16,2011-05-01 13:45:42
54,"SBI","M",2011-06-02 14:07:54,2011-06-23 03:37:01
54,"SBO","M",2011-06-24 07:55:08,2011-06-25 02:28:19
54,"WHT","M",2011-07-18 00:45:14,2011-07-18 02:37:25
54,"WHT","M",2011-10-10 01:13:04,2011-10-10 04:28:36
54,"SBO","M",2011-10-16 23:14:14,2011-10-16 23:25:09
54,"SBI","M",2011-10-17 10:51:23,2011-10-17 13:43:04
54,"SGR","M",2012-02-24 03:52:02,2012-02-24 11:58:28
54,"TTB","M",2012-04-16 06:33:29,2012-04-16 06:54:12
54,"SGR","M",2012-04-16 22:19:42,2012-04-16 23:42:46
54,"SBI","M",2012-04-23 19:39:53,2012-04-26 01:09:48
54,"SBO","M",2012-04-27 07:24:36,2012-04-27 19:55:32
56,"TTB","M",2011-04-27 07:12:51,2011-04-27 07:44:41
56,"SGR","M",2011-04-29 00:25:51,2011-04-29 01:00:59
56,"SBI","M",2011-05-09 07:50:28,2011-05-12 20:57:49
56,"SBO","M",2011-05-13 13:54:29,2011-05-13 17:43:06
56,"STG","M",2011-06-25 06:46:08,2011-07-10 01:13:08
56,"THB","M",2011-07-16 03:36:30,2011-07-24 18:18:41
56,"STG","M",2011-07-30 09:36:37,2011-08-08 01:48:44
56,"OSC","M",2011-08-19 10:07:11,2011-08-19 14:40:17
56,"SBO","M",2011-08-20 10:31:42,2011-08-20 13:51:24
56,"SBI","M",2011-08-22 13:04:37,2011-08-23 07:28:31
56,"SBO","M",2011-08-24 07:32:51,2011-08-25 03:01:55
56,"SBI","M",2011-08-27 09:15:48,2011-09-01 03:08:34
56,"SBO","M",2011-09-03 13:54:34,2011-09-04 00:54:26
56,"SBI","M",2011-09-05 19:49:12,2011-09-09 18:44:02
56,"SBO","M",2011-09-09 18:44:07,2011-09-09 18:44:07
56,"SBI","M",2011-09-09 18:46:39,2011-09-09 19:47:13
56,"SBO","M",2011-09-09 19:47:16,2011-09-09 19:47:16
56,"SBI","M",2011-09-09 19:49:00,2011-09-09 20:11:22
56,"SBO","M",2011-09-09 20:11:27,2011-09-09 20:11:27
56,"SBI","M",2011-09-09 20:13:25,2011-09-09 20:25:03
56,"SBO","M",2011-09-09 20:25:09,2011-09-09 20:25:09
56,"SBI","M",2011-09-09 20:26:17,2011-09-09 20:35:36
56,"SBO","M",2011-09-09 20:36:05,2011-09-09 20:36:05
56,"SBI","M",2011-09-09 20:37:40,2011-09-09 20:41:08
56,"SBO","M",2011-09-09 20:41:13,2011-09-09 20:41:13
56,"SBI","M",2011-09-09 20:43:45,2011-09-09 20:44:07
56,"SBO","M",2011-09-09 20:44:14,2011-09-09 20:44:14
56,"SBI","M",2011-09-09 20:49:33,2011-09-09 20:52:09
56,"SBO","M",2011-09-09 20:52:39,2011-09-09 20:52:39
56,"SBI","M",2011-09-09 20:54:17,2011-09-09 20:57:10
56,"SBO","M",2011-09-09 20:57:15,2011-09-09 20:57:15
56,"SBI","M",2011-09-09 20:58:14,2011-09-09 21:03:14
56,"SBO","M",2011-09-09 21:03:19,2011-09-09 21:03:19
56,"SBI","M",2011-09-09 21:05:09,2011-09-10 05:03:04
56,"SBO","M",2011-09-11 06:46:01,2011-09-11 07:19:53
56,"SBI","M",2011-09-11 09:29:16,2011-09-11 09:29:16
56,"SBO","M",2011-09-11 09:36:22,2011-09-13 08:26:20
56,"SBI","M",2011-09-13 16:37:10,2011-09-15 09:01:51
56,"SBO","M",2011-09-16 05:47:00,2011-09-20 23:11:17
56,"OSC","M",2011-09-22 05:13:11,2011-09-22 06:42:53
56,"STG","M",2011-09-23 01:26:49,2011-09-26 06:23:06
56,"OSC","M",2011-10-01 06:26:22,2011-10-01 15:52:20
56,"STG","M",2011-10-05 14:52:46,2011-10-19 03:12:58
56,"OSC","M",2011-10-21 08:05:13,2011-10-24 00:48:59
56,"STG","M",2011-10-26 21:18:55,2011-11-05 02:27:04
56,"THB","M",2011-11-07 07:52:51,2011-11-18 17:34:30
58,"TTB","M",2011-05-07 00:41:30,2011-05-07 01:30:38
58,"SGR","M",2011-05-07 13:37:23,2011-05-07 14:46:22
58,"SBI","M",2011-05-17 16:26:42,2011-05-17 18:28:44
58,"SBO","M",2011-05-18 09:23:42,2011-05-18 11:40:11
58,"WHT","M",2011-06-16 09:54:58,2011-09-28 09:09:17
58,"SBO","M",2011-10-04 03:43:03,2011-10-04 09:04:08
58,"SBI","M",2011-10-04 13:48:18,2011-10-05 21:11:40
58,"SGR","M",2011-11-27 10:11:26,2011-11-29 05:10:18
58,"TTB","M",2012-04-16 14:07:53,2012-04-16 14:40:21
58,"SGR","M",2012-04-18 11:24:16,2012-04-18 13:53:00
58,"SBI","M",2012-04-21 13:57:19,2012-04-21 14:07:38
58,"SBO","M",2012-04-21 21:39:16,2012-04-22 06:54:37
60,"TTB","F",2011-04-12 09:57:36,2011-04-12 10:17:10
60,"SGR","F",2011-04-14 00:34:16,2011-04-14 04:28:19
60,"SBI","F",2011-05-05 22:23:11,2011-05-08 14:48:03
60,"SBO","F",2011-05-08 19:46:10,2011-05-08 22:30:44
60,"WHT","F",2011-05-15 02:23:50,2011-05-15 02:52:30
60,"WHT","F",2011-11-08 09:05:36,2011-11-08 16:13:03
60,"SBO","F",2011-11-11 09:43:39,2011-11-11 10:36:53
60,"SBI","F",2011-11-11 19:26:05,2011-11-11 20:07:23
60,"SGR","F",2012-03-09 12:25:31,2012-03-09 17:42:24
60,"TTB","F",2012-03-25 10:15:06,2012-03-25 10:39:58
60,"SGR","F",2012-03-26 08:12:12,2012-03-26 13:12:46
63,"TTB","M",2011-05-01 18:06:48,2011-05-02 04:20:13
65,"TTB","F",2011-04-27 05:50:07,2011-04-27 06:23:04
65,"SGR","F",2011-05-03 19:59:03,2011-05-03 21:04:52
65,"SBI","F",2011-05-30 18:13:54,2011-06-02 15:58:34
65,"SBO","F",2011-06-02 16:58:46,2011-06-06 02:14:30
65,"SBI","F",2011-06-10 07:00:07,2011-07-05 15:39:07
65,"SBO","F",2011-07-05 15:44:03,2011-07-05 15:44:03
65,"SBI","F",2011-07-05 15:46:46,2011-07-05 15:46:46
65,"SBO","F",2011-07-05 15:47:06,2011-07-05 15:47:06
65,"SBI","F",2011-07-05 15:49:46,2011-07-05 16:32:10
65,"SBO","F",2011-07-05 16:32:31,2011-07-05 16:32:31
65,"SBI","F",2011-07-05 17:19:46,2011-07-05 18:15:25
65,"SBO","F",2011-07-05 18:32:15,2011-07-16 04:11:34
65,"SBI","F",2011-07-16 16:07:16,2011-07-16 16:29:05
65,"SBO","F",2011-07-16 23:06:40,2011-07-25 03:27:57
65,"SBI","F",2011-07-27 22:06:44,2011-08-12 01:53:58
65,"SBO","F",2011-08-12 23:46:50,2011-08-13 05:43:46
65,"SBI","F",2011-08-14 03:28:10,2011-08-14 12:51:44
65,"SBO","F",2011-08-15 01:07:42,2011-08-26 21:36:12
65,"OSC","F",2011-09-03 02:31:17,2011-09-13 07:00:13
65,"SBO","F",2011-09-14 09:51:04,2011-09-17 03:07:39
65,"SBI","F",2011-09-17 14:26:15,2011-09-17 16:13:34
65,"SBO","F",2011-09-17 17:22:31,2011-10-22 22:22:32
65,"SBI","F",2011-10-23 13:37:23,2011-10-24 09:31:57
65,"SGR","F",2012-02-06 04:01:41,2012-02-07 21:25:08
65,"TTB","F",2012-03-19 23:53:41,2012-03-20 00:33:20
65,"SGR","F",2012-03-21 16:28:56,2012-03-21 22:40:41
65,"SBI","F",2012-03-27 08:46:51,2012-05-08 22:16:29
65,"SBO","F",2012-05-09 04:57:39,2012-05-09 07:27:15
65,"SBI","F",2012-05-09 13:32:41,2012-05-13 19:08:55
65,"SBO","F",2012-05-13 21:35:23,2012-05-14 10:04:46
67,"TTB","F",2011-04-11 11:56:13,2011-04-11 12:23:13
67,"SGR","F",2011-04-15 22:43:52,2011-04-16 01:02:57
67,"SBI","F",2011-04-28 00:49:02,2011-06-15 13:58:52
67,"SBO","F",2011-06-18 02:31:19,2011-06-18 02:34:57
67,"SBI","F",2011-06-22 12:40:12,2011-06-22 19:29:41
67,"SBO","F",2011-06-23 16:21:20,2011-06-23 16:21:20
67,"SBI","F",2011-06-23 17:03:19,2011-06-23 17:03:19
67,"SBO","F",2011-06-23 17:06:01,2011-06-23 17:10:09
67,"SBI","F",2011-06-23 21:55:03,2011-06-24 06:05:23
67,"SBO","F",2011-06-24 06:05:43,2011-06-24 06:05:43
67,"SBI","F",2011-06-24 06:06:36,2011-06-24 06:06:36
67,"SBO","F",2011-06-24 06:06:56,2011-06-24 06:06:56
67,"SBI","F",2011-06-24 06:06:58,2011-06-24 08:34:14
67,"SBO","F",2011-06-24 09:01:02,2011-06-24 09:01:02
67,"SBI","F",2011-06-24 09:02:05,2011-06-24 18:08:19
67,"SBO","F",2011-06-25 05:52:20,2011-06-27 11:31:06
67,"SBI","F",2011-06-28 13:37:44,2011-06-28 13:48:07
67,"SBO","F",2011-06-28 13:52:36,2011-06-28 13:52:36
67,"SBI","F",2011-06-28 14:05:59,2011-07-11 22:46:27
67,"SBO","F",2011-07-12 01:45:07,2011-07-12 23:34:44
67,"SBI","F",2011-07-14 05:48:45,2011-07-26 05:04:02
67,"SBO","F",2011-07-26 14:46:48,2011-07-26 19:02:17
67,"SBI","F",2011-07-28 09:59:33,2011-08-04 22:13:20
67,"SBO","F",2011-08-09 01:32:01,2011-08-11 16:36:56
67,"WHT","F",2011-08-22 09:40:47,2011-08-28 09:15:01
69,"TTB","F",2011-04-12 14:38:17,2011-04-12 15:23:44
69,"SGR","F",2011-04-13 20:06:22,2011-04-13 21:56:53
69,"SGR","F",2012-01-12 17:16:05,2012-01-14 05:17:32
69,"TTB","F",2012-03-20 12:14:12,2012-03-20 12:37:21
69,"SGR","F",2012-03-23 00:46:27,2012-03-23 08:12:44
71,"TTB","F",2011-04-21 20:48:06,2011-04-21 21:15:30
71,"SGR","F",2011-04-27 03:15:14,2011-04-27 06:32:55
71,"SGR","F",2011-10-22 11:40:21,2012-02-04 12:14:04
71,"TTB","F",2012-03-25 01:35:28,2012-03-25 02:33:20
71,"SGR","F",2012-03-27 02:41:06,2012-03-27 13:19:33
73,"TTB","F",2011-04-10 01:39:29,2011-04-10 02:19:03
73,"SGR","F",2011-04-14 05:13:27,2011-04-14 08:58:19
73,"SGR","F",2012-02-06 09:36:06,2012-02-07 00:03:56
73,"TTB","F",2012-03-22 10:22:22,2012-03-22 10:56:58
73,"SGR","F",2012-03-23 10:21:44,2012-03-23 15:08:00
75,"TTB","M",2011-04-14 17:49:58,2011-04-14 19:27:42
75,"SGR","M",2011-04-17 13:53:01,2011-04-17 17:54:33
75,"SBI","M",2011-05-19 21:25:12,2011-05-20 01:00:43
75,"SBO","M",2011-05-21 02:33:41,2011-05-21 02:37:52
75,"SBI","M",2011-05-23 00:22:25,2011-05-31 17:25:14
75,"SBO","M",2011-06-01 02:36:37,2011-06-01 11:05:55
75,"SBI","M",2011-06-04 06:40:51,2011-08-20 10:59:44
75,"SBO","M",2011-08-20 12:28:41,2011-08-20 12:51:29
75,"SBI","M",2011-08-20 13:17:26,2011-08-21 20:59:12
75,"SBO","M",2011-08-21 21:02:04,2011-08-21 21:02:04
75,"SBI","M",2011-08-21 21:03:06,2011-08-23 23:23:27
75,"SBO","M",2011-08-24 21:49:54,2011-08-25 00:21:10
75,"SBI","M",2011-08-25 16:19:19,2011-08-27 23:56:10
