ID	FirstFound	LastPresent	LastChecked	Fate	Freq	Year	HenAge	Date	Dlek	Sage	NonSage	RoadD500	All1000	NMG_Ht	AvgGrsHt100
159.398-1-2006	10	10	17	1	1	2006	Juvenile	0.972093916	-0.730872973	-0.31199367	-0.62869043	0.6247835	0.626215559	0.059591059	0.531651186
159.458-1-2006	10	10	14	1	1	2006	Juvenile	0.639919661	-0.762899795	1.31272316	-0.252811801	-0.853394109	0.653609762	0.778808636	-0.274341198
159.612-1-2006	11	11	18	1	1	2006	Juvenile	-0.190515978	-0.94406838	0.642606491	-0.193850447	0.711745154	0.540124255	0.007435877	-0.575726693
159.672-1-2006	11	36	36	0	1	2006	Unknown	-0.273559542	-1.057911112	-1.260271975	0.311006143	1.842110248	0.084234547	1.26666902	-0.025296629
159.891-1-2006	16	36	36	0	1	2006	Unknown	0.307745405	2.674240438	1.963874263	-0.62869043	1.546474727	0.579257878	0.959089334	0.651312606
159.079-1-2007	12	38	38	0	1	2007	Adult	-0.356603106	1.317543574	2.630830004	2.054051159	-0.853394109	0.73774005	0.784762424	1.157655565
159.136-2-2007	19	37	37	0	1	2007	Adult	1.221224608	0	0	0	0	0	0	0
159.279-1-2007	16	37	37	0	1	2007	Adult	-0.605733797	1.624623319	2.055541166	0.487890204	-0.853394109	-0.688632844	-0.972224197	0.170884871
159.357-1-2007	16	33	33	0	1	2007	Adult	0.556876097	1.49412002	-0.236131406	0.686884772	-0.853394109	-1.553461249	0	1.505184103
159.537-1-2007	10	38	38	0	1	2007	Adult	-0.356603106	1.394205871	0.234846819	0.366282412	-0.853394109	-2.375240667	2.019067708	0.793176543
160.044-1-2007	12	36	36	0	1	2007	Adult	0.224701841	-0.856393118	-0.764006329	2.422559619	0.88563436	0.011837009	-0.090274287	-0.108028418
160.882-1-2007	19	38	38	0	1	2007	Adult	-0.937908052	0.611132848	1.142033065	0.443669188	0.694352823	0.340547443	0.475165454	0.402517493
159.398-1-2007	15	18	21	1	1	2007	Adult	-1.10399518	-0.775075236	1.802666951	-0.62869043	0.155258772	-0.091863425	-1.26334061	0.104068281
159.418-1-2007	20	27	30	1	1	2007	Adult	-1.020951616	0.84077993	1.869046432	-0.35599417	-0.227338404	0.500990631	0.26082909	0.622757405
159.612-1-2007	16	30	32	1	1	2007	Adult	1.387311735	0.659631653	0.863871429	3.502289407	-0.853394109	-0.31883444	4.980992128	0.894343031
159.827-1-2007	18	18	21	1	1	2007	Adult	-0.356603106	1.005928897	0.007260026	0.185713266	0.311755647	-1.117135018	1.352939018	2.399706758
159.910-1-2007	3	9	20	1	1	2007	Adult	0.058614714	-0.626556891	1.413872846	-0.62869043	-0.853394109	-0.712111684	0.027440605	1.632472234
160.830-1-2007	14	22	25	1	1	2007	Adult	-1.436169436	0.296152088	0.253812385	-0.62869043	-0.853394109	0.739701067	1.657797862	-0.354048328
