Site,Trap No,Time,Mo,Day,Year,Julian,Sex,Age,Total,Bag,Mass,Frequency,Band ID,Wing,Tail,Tars,Culmen,Molt,Color,Recap,Feather,Blood,Par
FM,FM14-08,1830,8,9,2014,221,M,A,515,40,475,,110,17.5,15.4,5.25,2.35,8,,N,Y,N,Y
FM,FM14-7,1712,8,29,2014,241,M,A,535,40,495,149.752,110,,,,,,,Y,N,N,N
FM,FM14-30,1930,8,9,2014,221,M,A,560,40,520,,119,18.2,15.4,5.11,2.35,7,Gray,N,y,N,Y
FM,FM14-19,,9,25,2014,268,M,J,605,40,565,149.672,267,18,15,5.31,2.35,Finished,Gray,N,Y,N,N
FM,FM14-43,17445,9,26,2014,269,M,J,485,40,445,149.014,268,18.4,12.5,5.36,2.32,8,brown,N,Y,N,N
FM,FM14-44,1500,9,29,2014,272,M,J,470,40,430,149.014,268,,,,,,,Y,,,
FM,FM14-38,1830,9,26,2014,269,F,A,530,40,490,149.782,269,18.7,13,5.04,2.17,NA,,N,Y,N,N
FM,FM14-20,1703,9,28,2014,271,M,A,590,40,550,149.513,296,19,14.6,5.35,2.07,NA,Red,N,Y,N,N
FM,FM14-43,1906,9,27,2014,270,M,A,720,40,680,149.423,297,19.9,16.6,5.56,2.3,"9,10",Gray,N,Y,N,N
FM,FM14-39,1812,9,27,2014,270,F,J,590,40,550,149.432,298,17.9,13.6,5.03,2.26,NA,Split,N,Y,N,N
FM,FM14-13,1740,9,27,2014,270,F,J,495,40,455,149.862,299,18,12.6,5.01,2.07,NA,Split,N,Y,N,N
FM,FM14-40,1655,9,27,2014,270,M,A,580,40,540,149.544,300,19.3,13.9,5.37,2.76,8,Intermediate,N,Y,N,N
FM,FM14-32,1650,9,25,2014,268,M,A,720,40,680,,301,19.5,15,5.45,2.32,Finished,Red,N,Y,N,N
FM,FM14-24,1630,9,25,2014,268,F,J,500,40,460,149.742,302,17.5,11,5.08,2.38,8,Gray,N,Y,N,N
