Plot Title: Blueberry Creek,,,,,,,
#,"Date Time, GMT-08:00","Temp, °F (LGR S/N: 20847487, SEN S/N: 20847487)",Coupler Detached (LGR S/N: 20847487),Coupler Attached (LGR S/N: 20847487),Host Connected (LGR S/N: 20847487),Stopped (LGR S/N: 20847487),End Of File (LGR S/N: 20847487)
188,7/20/2020 19:00,61.119,,,,,
189,7/20/2020 20:00,60.904,,,,,
190,7/20/2020 21:00,60.69,,,,,
191,7/20/2020 22:00,60.433,,,,,
192,7/20/2020 23:00,60.26,,,,,
193,7/21/2020 0:00,60.174,,,,,
194,7/21/2020 1:00,60.089,,,,,
195,7/21/2020 2:00,60.046,,,,,
196,7/21/2020 3:00,59.916,,,,,
197,7/21/2020 4:00,59.83,,,,,
198,7/21/2020 5:00,59.616,,,,,
199,7/21/2020 6:00,59.315,,,,,
200,7/21/2020 7:00,58.971,,,,,
201,7/21/2020 8:00,58.669,,,,,
202,7/21/2020 9:00,58.066,,,,,
203,7/21/2020 10:00,60.346,,,,,
204,7/21/2020 11:00,60.433,,,,,
205,7/21/2020 12:00,60.174,,,,,
206,7/21/2020 13:00,60.174,,,,,
207,7/21/2020 14:00,60.003,,,,,
208,7/21/2020 15:00,59.873,,,,,
209,7/21/2020 16:00,59.616,,,,,
210,7/21/2020 17:00,59.445,,,,,
211,7/21/2020 18:00,59.358,,,,,
212,7/21/2020 19:00,59.099,,,,,
213,7/21/2020 20:00,59.099,,,,,
214,7/21/2020 21:00,58.971,,,,,
215,7/21/2020 22:00,58.712,,,,,
216,7/21/2020 23:00,58.498,,,,,
217,7/22/2020 0:00,58.455,,,,,
218,7/22/2020 1:00,58.282,,,,,
219,7/22/2020 2:00,57.42,,,,,
220,7/22/2020 3:00,57.549,,,,,
221,7/22/2020 4:00,57.117,,,,,
222,7/22/2020 5:00,56.642,,,,,
223,7/22/2020 6:00,58.755,,,,,
224,7/22/2020 7:00,60.474,,,,,
225,7/22/2020 8:00,60.904,,,,,
226,7/22/2020 9:00,60.474,,,,,
227,7/22/2020 10:00,60.474,,,,,
228,7/22/2020 11:00,60.303,,,,,
229,7/22/2020 12:00,60.303,,,,,
230,7/22/2020 13:00,60.217,,,,,
231,7/22/2020 14:00,60.046,,,,,
232,7/22/2020 15:00,60.089,,,,,
233,7/22/2020 16:00,59.873,,,,,
234,7/22/2020 17:00,59.358,,,,,
235,7/22/2020 18:00,58.669,,,,,
236,7/22/2020 19:00,58.282,,,,,
237,7/22/2020 20:00,57.679,,,,,
238,7/22/2020 21:00,58.928,,,,,
239,7/22/2020 22:00,57.074,,,,,
240,7/22/2020 23:00,56.858,,,,,
